Dialect_Word,SAE_Word,Dialect_Prompt,SAE_Prompt,person_in_prompt,dialect_word_count,polysemic,Polysemy_Prompt,Original_Dialect_Prompt,Original_SAE_Prompt
teh tarik,milk tea,a painting of milk tea,a painting of milk tea,0,1,0,,a painting of teh tarik,a painting of milk tea
teh tarik,milk tea,a photo of milk tea,a photo of milk tea,0,1,0,,a photo of teh tarik,a photo of milk tea
teh tarik,milk tea,selling milk tea,selling milk tea,0,1,0,,selling teh tarik,selling milk tea
teh tarik,milk tea,a large milk tea,a large milk tea,1,1,0,,a large teh tarik,a large milk tea
teh tarik,milk tea,a small milk tea,a small milk tea,1,1,0,,a small teh tarik,a small milk tea
teh tarik,milk tea,milk tea on a counter,milk tea on a counter,0,1,0,,teh tarik on a table,milk tea on a counter
kopi,coffee,coffee on a table,coffee on a table,1,1,0,,kopi on a table,coffee on a table
kopi,coffee,coffee on a counter,coffee on a counter,1,1,0,,kopi on a counter,coffee on a counter
kopi,coffee,a painting of coffee,a painting of coffee,0,1,0,,a painting of kopi,a painting of coffee
kopi,coffee,two people getting coffee,two people getting coffee,1,1,0,,two people getting kopi,two people getting coffee
kopi,coffee,a man buying coffee,a man buying coffee,1,1,0,,a man buying kopi,a man buying coffee
kopi,coffee,a woman with coffee,a woman with coffee,1,1,0,,a woman with kopi,a woman with coffee
ang pow,red packet,a painting of a red packet,a painting of a red packet,1,1,0,,a painting of an ang pow,a painting of a red packet
ang pow,red packet,two red packets on a table,two red packets on a table,0,1,0,,two ang pows on a table,two red packets on a table
ang pow,red packet,a red packet on a counter,a red packet on a counter,0,1,0,,an ang pow on a counter,a red packet on a counter
ang pow,red packet,a person holding a red packet,a person holding a red packet,1,1,0,,a person holding an ang pow,a person holding a red packet
ang pow,red packet,a red packet on the ground,a red packet on the ground,0,1,0,,an ang pow on the ground,a red packet on the ground
ang pow,red packet,a child holding a red packet,a child holding a red packet,0,1,0,,a child holding an ang pow,a child holding a red packet
sotong,squid,a painting of squid,a painting of squid,0,1,0,,a painting of sotong,a painting of squid
sotong,squid,squid on a table,squid on a table,0,1,0,,sotong on a table,squid on a table
sotong,squid,a squid in a market,a squid in a market,0,1,0,,a sotong in a market,a squid in a market
sotong,squid,a squid in an aquarium,a squid in an aquarium,0,1,0,,a sotong in an aquarium,a squid in an aquarium
sotong,squid,a squid on a counter,a squid on a counter,0,1,0,,a sotong on a counter,a squid on a counter
sotong,squid,squid in a box,squid in a box,0,1,0,,sotong in a box,squid in a box
tapao,takeout,a person getting takeout,a person getting takeout,0,1,0,,a person getting tapao,a person getting takeout
tapao,takeout,takeout on a table,takeout on a table,0,1,0,,tapao on a table,takeout on a table
tapao,takeout,takeout from the food truck,takeout from the food truck,0,1,0,,tapao from the food truck,takeout from the food truck
tapao,takeout,let's get some food takeout,let's get some food takeout,1,1,0,,let's get some food tapao,let's get some food takeout
tapao,takeout,chinese food takeout,chinese food takeout,0,1,0,,chinese food tapao,chinese food takeout
tapao,takeout,a couple getting food takeout,a couple getting food takeout,1,1,0,,a couple getting food tapao,a couple getting food takeout
kiasu,a grasping and selfish attitude,a businessman with a grasping and selfish attitude,a businessman with a grasping and selfish attitude,1,1,0,,a kiasu businessman,a businessman with a grasping and selfish attitude
kiasu,a grasping and selfish attitude,a leader with a grasping and selfish attitude,a leader with a grasping and selfish attitude,1,1,0,,a kiasu leader,a leader with a grasping and selfish attitude
kiasu,a grasping and selfish attitude,a student with a grasping and selfish attitude,a student with a grasping and selfish attitude,1,1,0,,a kiasu student,a student with a grasping and selfish attitude
kiasu,a grasping and selfish attitude,a parent with a grasping and selfish attitude,a parent with a grasping and selfish attitude,1,1,0,,a kiasu parent,a parent with a grasping and selfish attitude
kiasu,a grasping and selfish attitude,a businesswoman with a grasping and selfish attitude,a businesswoman with a grasping and selfish attitude,1,1,0,,a kiasu businesswoman,a businesswoman with a grasping and selfish attitude
kiasu,a grasping and selfish attitude,a politician with a grasping and selfish attitude,a politician with a grasping and selfish attitude,1,1,0,,a kiasu politician,a politician with a grasping and selfish attitude
sian,bored,a bored cat,a bored cat,0,1,0,,a sian cat,a bored cat
sian,bored,a bored woman,a bored woman,1,1,0,,a sian woman,a bored woman
sian,bored,a bored worker,a bored worker,1,1,0,,a sian worker,a bored worker
sian,bored,a child bored,a child bored,1,1,0,,a child sian,a child bored
sian,bored,a bored dog,a bored dog,0,1,0,,a sian dog,a bored dog
sian,bored,a bored man,a bored man,1,1,0,,a sian man,a bored man
lepak,relax,a relaxing dog,a relaxing dog,0,1,0,,a lepak dog,a relaxing dog
lepak,relax,people relaxing on a beach,people relaxing on a beach,1,1,0,,people lepak on a beach,people relaxing on a beach
lepak,relax,people relaxing on a coach,people relaxing on a coach,1,1,0,,people lepak on a coach,people relaxing on a coach
lepak,relax,a couple relaxing in a park,a couple relaxing in a park,1,1,0,,a couple lepak in a park,a couple relaxing in a park
lepak,relax,a cat relaxing,a cat relaxing,0,1,0,,a cat lepak,a cat relaxing
lepak,relax,a relaxing setting,a relaxing setting,0,1,0,,a lepak setting,a relaxing setting
can,yes,a person gesturing yes,a person gesturing yes,1,1,1,a soda can on the table,a person gesturing can,a person gesturing yes
can,yes,a person answering yes,a person answering yes,1,1,1,a metal can filled with beans,a person answering can,a person answering yes
can,yes,a worker gesturing yes,a worker gesturing yes,1,1,1,a trash can in a kitchen,a worker gesturing can,a worker gesturing yes
can,yes,a student gesturing yes,a student gesturing yes,1,1,1,a can opener next to cans,a student gesturing can,a student gesturing yes
can,yes,a woman gesturing yes,a woman gesturing yes,1,1,1,a paint can on a shelf,a woman gesturing can,a woman gesturing yes
can,yes,a man gesturing yes,a man gesturing yes,1,1,1,a stack of soup cans,a man gesturing can,a man gesturing yes
chope,save a table,a student saving a table,a student saving a table,1,1,0,,a student chope,a student saving a table
chope,save a table,a man saving a table,a man saving a table,1,1,0,,a man chope,a man saving a table
chope,save a table,a woman saving a table,a woman saving a table,1,1,0,,a woman chope,a woman saving a table
chope,save a table,a group saving a table,a group saving a table,1,1,0,,a group chope,a group saving a table
chope,save a table,saving a table at a cafe,saving a table at a cafe,1,1,0,,chope at a cafe,saving a table at a cafe
chope,save a table,saving a table with a napkin,saving a table with a napkin,1,1,0,,chope with a napkin,saving a table with a napkin
shiok,very tasty,a counter with tasty things,a counter with tasty things,0,1,0,,a counter with shiok things,a counter with tasty things
shiok,very tasty,a painting of something that is very tasty,a painting of something that is very tasty,1,1,0,,a painting of something that is shiok,a painting of something that is very tasty
shiok,very tasty,a table with very tasty stuff,a table with very tasty stuff,0,1,0,,a table with shiok stuff,a table with very tasty stuff
shiok,very tasty,a photo of something that is tasty,a photo of something that is tasty,0,1,0,,a photo of something that is shiok,a photo of something that is tasty
shiok,very tasty,something tasty,something tasty,0,1,0,,something shiok,something tasty
shiok,very tasty,a person enjoying something that is tasty,a person enjoying something that is tasty,0,1,0,,a person enjoying something that is shiok,a person enjoying something that is tasty
atas,high class,a high class clothing store,a high class clothing store,0,1,0,,an atas clothing store,a high class clothing store
atas,high class,a high class party,a high class party,1,1,0,,an atas party,a high class party
