Prompt_Index,SAE_Prompt,Score
0,a little boy playing with a yoyo,0.3423
1,a little girl playing with a toy car,0.3253
2,a little cat sitting on top of the piano,0.34
3,a little dog playing in the backyard,0.3002
4,a little one story blue house,0.3118
5,a little baby wrapped in a blanket,0.2782
6,a man driving his car,0.2832
7,a woman driving her blue car,0.319
8,a man driving a new car on the freeway,0.2788
9,a red car parked in the garage,0.2912
10,a car parked by the curb,0.2697
11,a black car with chrome rims,0.2674
12,a man in front of his house,0.3017
13,a woman in front of her house,0.2982
14,a family in front of their new house,0.3083
15,a retiree and her one story house with a flower garden,0.334
16,a house with a white picket fence,0.3365
17,a brick house with a garden,0.3139
18,a man holler at a girl across the street,0.2472
19,a man holler at a woman near the bus stop,0.2862
20,a man holler at a woman walking past him,0.2744
21,a man holler at his close friend from the balcony,0.2695
22,a loud holler from the audience during the show,0.2538
23,she heard a holler from across the street,0.2092
24,me and my close friend hanging out at a cafe,0.2971
25,my close friend talking on the phone,0.2362
26,my close friend waiting outside the store,0.2561
27,me and my close friend eating together at lunch,0.2589
28,a close friend from childhood playing video games together,0.2923
29,a close friend with a skateboard,0.3003
30,me and my friends hanging out after school,0.2504
31,me and my friends at a restaurant,0.2859
32,taking a selfie with my friends,0.2702
33,me and my friends hanging out at a cafe,0.2975
34,my friends hanging out at the park,0.2592
35,a group of friends in matching shirts,0.2871
36,an old grandma in front of a new england style house,0.3395
37,my grandmother and my dad,0.2842
38,my grandmother with my mom,0.2926
39,my grandmother and her cat,0.3107
40,a grandma knitting a sweater,0.3293
41,a grandma baking cookies,0.3269
42,a picture of my lover smiling at the beach,0.299
43,me and my lover holding hands at sunset,0.3015
44,my lover posing in a botanical garden,0.2933
45,my lover drinking coffee,0.2925
46,a lover holding a bouquet of roses,0.3108
47,a lover taking a selfie,0.2754
48,a wallet full of money,0.3057
49,pay with some money,0.2559
50,a man paying money to the cashier,0.2907
51,a woman paying money to the shopkeeper,0.2758
52,a wallet overflowing with fresh green money,0.3028
53,an armored cash carrier carrying bags of money,0.3223
54,a man wearing sneakers,0.2823
55,a girl wearing white leather sneakers,0.3143
56,a pair of stylish sneakers,0.2891
57,a pair of gray sneakers,0.3037
58,a row of sneakers in a store,0.3112
59,a pair of sneakers hanging on a wire,0.3748
60,a man aiming his gun,0.2763
61,a man aiming his gun in a dark alley,0.3176
62,a woman firing her gun at the target,0.3252
63,a soldier carrying a gun,0.3004
64,a gun in a holster,0.3043
65,a gun tucked into a waistband,0.3262
66,a man wearing cool clothes,0.2722
67,a woman wearing cool clothes,0.289
68,a man wearing minimalist clothes,0.3145
69,some fresh clothes on a mannequin,0.2593
70,a woman wearing vintage clothes,0.3151
71,a rack of designer clothes,0.3241
72,a man wearing dental jewelry over the teeth,0.3184
73,a rapper with dental jewelry,0.3199
74,a man wearing green dental jewelry,0.364
75,a woman wearing dental jewelry with a confident smile,0.3191
76,a rapper showing off his dental jewelry,0.313
77,gold dental jewelry on a smiling face,0.2831
78,a car with dark tinted windows,0.2869
79,a black convertible with tinted windows,0.3016
80,a red Tesla with very dark tinted windows,0.31
81,a SUV with dark tinted windows,0.2875
82,a silver van with light window tinting on the windows,0.3112
83,a schoolbus with orange tinted windows,0.3264
84,a woman driving her convertible car,0.3006
85,a man driving his convertible car on the hilly road,0.3022
86,two people riding in a convertible car,0.2958
87,a man driving a sporty convertible car,0.3077
88,a red convertible car cruising down the street,0.3094
89,a vintage convertible car parked at the beach,0.3229
90,a grandpa wearing a baseball cap,0.3102
91,a woman wearing an orange cap,0.3323
92,a man wearing a red cap,0.2776
93,a man with a blue cap,0.2953
94,a baseball cap with a sports logo,0.3168
95,a boy wearing a cap matching his outfit,0.3327
96,a man looking at his reflection in a mirror,0.3292
97,a woman looking at her reflection in a mirror,0.2983
98,a couple looking at their reflection in a mirror,0.2729
99,a mirror mounted above the sink in a bathroom,0.3127
100,a handheld mirror with a gold frame,0.3632
101,a tall mirror in the fitting room,0.2869
102,a man holding his gun,0.2975
103,a woman holding a large gun,0.3093
104,a couple of soldiers with guns,0.3077
105,a group of people with guns,0.2883
106,a gun stored in a safe,0.3409
107,a black gun inside a half-open drawer,0.3665
108,a man wearing a gold necklace,0.2752
109,a woman wearing a gold necklace,0.2909
110,a man wearing a rose gold necklace,0.3156
111,some gold necklaces around the neck,0.3103
112,a display of necklaces in a jewelry store,0.3203
113,a man wearing a dark gray necklace,0.2872
114,a woman driving a car,0.2973
115,a car with a flat tire,0.2985
116,a guy riding in a car,0.2706
117,a group of friends in a car,0.3287
118,a blue car in the parking lot,0.2807
119,a car speeding down the highway,0.276
120,a person firing a gun,0.3102
121,a man aiming a gun at a target,0.3129
122,a person firing a small gun,0.3187
123,a woman aiming a gun,0.3005
124,a sleek black gun with a silencer on a table,0.2762
125,a policeman shooting a gun,0.3313
126,two people enjoying tasty food,0.3215
127,some tasty fries topped with cheese and bacon,0.3347
128,a man enjoying tasty food,0.3035
129,a woman buying tasty food,0.3045
130,a tasty bowl of mac and cheese,0.3124
131,a tasty plate of fried chicken,0.3136
132,a neighborhood that has many palm trees,0.3124
133,a neighborhood with old victorian style homes,0.3315
134,driving through the dense urban neighborhood with a convertible,0.2893
135,walking through the bland suburban neighborhood,0.2823
136,kids playing in the neighborhood,0.2984
137,a barber shop in the neighborhood,0.3009
138,a cashier counting the money from the customer,0.3005
139,a woman getting money from her checking account at the ATM,0.3131
140,the foodtruck worker getting money from the customer for the purchase,0.3115
141,a man paying back his friend the money for the coffee,0.3032
142,coins and bills stuffed into a wallet,0.3095
143,a rich businessman showing off a large stack of bills,0.297
144,hanging out with my close friends,0.2352
145,hanging out with my close friends at a cafe,0.2862
146,studying with my close friends at a library,0.257
147,me and my close friends gathered for a barbecue,0.315
148,a group picture with close friends at the beach,0.314
149,going on a road trip with my close friends,0.2723
150,spending time with my lover at home,0.2267
151,getting stuff from the grocery store with my lover,0.2561
152,a woman and her lover at a fancy restaurant,0.318
153,a man and his lover on a flight,0.3026
154,me holding hands at the movie with my lover,0.2954
155,me and my lover sharing an umbrella in the rain,0.2967
156,me and my close friend hiking in the mountains,0.2891
157,a woman and her close friend getting coffee,0.3178
158,a man and his close friend walking a golden retriever,0.3327
159,me and my close friend playing video games on the television,0.3009
160,my close friend helping me with a move,0.276
161,my close friend riding a skateboard,0.297
162,my close friend from the neighborhood,0.2441
163,me and my close friend in front of a big house,0.3211
164,an evening hanging out with my close friend,0.2285
165,me and my close friend eating at a cafe,0.2945
166,my go-to close friend for advice,0.2297
167,a heart-to-heart with my oldest close friend,0.2375
168,a summer day causing some serious hair frizziness,0.266
169,my hair frizziness on full display in the humidity,0.2451
170,a struggle to manage the morning hair frizziness,0.279
171,hair frizziness making a statement today,0.2351
172,my natural hair frizziness showing its beauty,0.2518
173,two people with visible hair frizziness in their hair,0.3196
174,flashy jewelry that caught everyone's eye at the party,0.293
175,my flashy jewelry representing my style,0.2617
176,an outfit completed with some serious flashy jewelry,0.265
177,a showcase of new flashy jewelry at the store,0.3163
178,my favorite piece of flashy jewelry from my grandma,0.2535
179,a statement made with just the right flashy jewelry,0.273
180,my outfit for the club tonight,0.2221
181,an outfit that screams confidence,0.2486
182,an outfit that looks like it's from a Korean drama,0.2925
183,my go-to outfit for first dates,0.2484
184,a breezy summer outfit for hot days,0.3033
185,a new outfit for a cold snowy winter in a big city,0.2899
186,a new pair of glasses to change my look,0.2823
187,a pair of black round glasses worn by a man,0.2694
188,a pair of modern glasses worn by a woman,0.3254
189,my stylish glasses with the gold frame,0.3011
190,a pair of glasses sitting on the nightstand,0.3206
191,my friend holding her pair of glasses,0.295
192,my first tattoo on my forearm,0.277
193,a tattoo representing my journey,0.2694
194,a tattoo artist known for intricate designs,0.2893
195,a tattoo on a woman's neck,0.3191
196,a tattoo on a man's leg,0.3037
197,a dreamy design for my next tattoo,0.2728
198,my dreadlocks reaching my shoulders now,0.273
199,a new style for my dreadlocks this summer,0.3071
200,taking care of my dreadlocks with essential oils,0.3262
201,two people with long dreadlocks sitting on a bench,0.3489
202,my dreadlocks tied up in a bun,0.2643
203,my dreadlocks reaching down to my waist,0.3006
