Prompt_Index,Dialect_Prompt,SAE_Prompt,Score
0,a medieval math,a medieval monastery,0.2246
1,a math on a hill,a monastery on a hill,0.2323
2,a small math,a small monastery,0.1782
3,a painting of a math,a painting of a monastery,0.2208
4,a crowded math,a crowded monastery,0.2408
5,a math in a dark forest,a monastery in a dark forest,0.2633
6,simkin on a wooden table,champagne on a wooden table,0.2346
7,simkin in a cabinet,champagne in a cabinet,0.2644
8,simkin on a table outside,champagne on a table outside,0.2522
9,a painting of some simkin,a painting of some champagne,0.2445
10,simkin on the beach,champagne on the beach,0.2478
11,simkin on top of a piano,champagne on top of a piano,0.2424
12,an old dai,an old midwife,0.231
13,a dai with a woman,a midwife with a woman,0.2537
14,a painting of a dai,a painting of a midwife,0.2721
15,a young dai,a young midwife,0.2371
16,a dai sitting down,a midwife sitting down,0.2388
17,a photograph of a dai with a cat,a photograph of a midwife with a cat,0.2922
18,a medico at a table,a medical practitioner at a table,0.3009
19,an old medico,an old medical practitioner,0.2731
20,a medico at a park,a medical practitioner at a park,0.3287
21,a medico with a woman,a medical practitioner with a woman,0.3209
22,a medico with a notepad,a medical practitioner with a notepad,0.2869
23,a painting of a medico,a painting of a medical practitioner,0.3169
24,a window covered with chick,a window covered with bamboo blinds,0.2421
25,a doorway with chick,a doorway with bamboo blinds,0.2502
26,hand-crafted chick,hand-crafted bamboo blinds,0.1733
27,sun-faded chick,sun-faded bamboo blinds,0.1761
28,chick with decorative trim,bamboo blinds with decorative trim,0.1455
29,tattered chick,tattered bamboo blinds,0.1569
30,a dark ghat,a dark mountain pass,0.2355
31,a ghat covered in snow,a mountain pass covered in snow,0.24
32,a crowded ghat,a crowded mountain pass,0.2219
33,a ghat with a nearby lake,a mountain pass with a nearby lake,0.2357
34,a painting of a beautiful ghat,a painting of a beautiful mountain pass,0.2447
35,an abandoned ghat,an abandoned mountain pass,0.2063
36,an old kirana,an old convenience store,0.1821
37,a modern kirana,a modern convenience store,0.1812
38,a busy kirana,a busy convenience store,0.2247
39,a kirana on fire,a convenience store on fire,0.1962
40,an empty kirana,an empty convenience store,0.2408
41,a painting of a kirana,a painting of a convenience store,0.2342
42,an old mandapa,an old temple,0.309
43,a mandapa on a hill,a temple on a hill,0.3024
44,a painting of a mandapa,a painting of a temple,0.3392
45,a mandapa in a dark forest,a temple in a dark forest,0.3001
46,a mandapa in a city,a temple in a city,0.277
47,a abandoned mandapa,an abandoned temple,0.3021
48,a nai in red,a barber in red,0.2277
49,an old nai,an old barber,0.2499
50,a small nai shop,a small barber shop,0.2519
51,a busy nai shop,a busy barber shop,0.2094
52,a nai by the chair,a barber by the chair,0.225
53,a nai working,a barber working,0.2268
54,a thana in a city,a police station in a city,0.2168
55,a busy thana,a busy police station,0.2183
56,a thana in a small town,a police station in a small town,0.2031
57,a person entering a thana,a person walking into a police station,0.2541
58,a painting of a thana,a painting of a police station,0.2391
59,a photograph of a modern thana,a photograph of a modern police station,0.1558
60,an abba in front of a house,a father in front of a house,0.1964
61,a girl standing with her abba,a girl standing with her father,0.2386
62,a crying abba,a crying father,0.181
63,an abba on a bed,a father on a bed,0.2125
64,an old abba with a dog,an old father with a dog,0.247
65,an old abba in the kitchen,an old father in the kitchen,0.2383
66,a beautiful pial,a beautiful veranda,0.1814
67,an expensive looking pial,an expensive looking veranda,0.1702
68,a modern looking pial,a modern looking veranda,0.1641
69,a green pial,a green veranda,0.2329
70,a dimly lit pial,a dimly lit veranda,0.225
71,a painting of a pial,a painting of a veranda,0.2287
72,a dry nullah,a dry riverbed,0.3031
73,a beautiful nullah in a painting,a beautiful riverbed in a painting,0.3173
74,a nullah in a forest,a riverbed in a forest,0.2972
75,a narrow nullah,a narrow riverbed,0.257
76,a small nullah,a small riverbed,0.2786
77,a wet nullah,a wet riverbed,0.2842
78,a beautiful rani,a beautiful queen,0.2348
79,a rani in a garden,a queen in a garden,0.2757
80,a painting of an old rani,a painting of an old queen,0.2902
81,a rani covered in snow,a queen covered in snow,0.2799
82,a rani in a large hall,a queen in a large hall,0.3025
83,an old rani on a bed,an old queen on a bed,0.2598
84,a sliced brinjal,a sliced eggplant,0.3071
85,a brinjal on a table,an eggplant on a table,0.307
86,brinjal in a basket,eggplant in a basket,0.3286
87,a painting of a brinjal,a painting of a eggplant,0.3602
88,a moldy brinjal,a moldy eggplant,0.3095
89,a dish with brinjal,a dish with eggplant,0.3104
90,a table of khana,a table of food,0.285
91,a basket with khana,a basket with food,0.3091
92,healthy khana,healthy food,0.2292
93,khana in a cabinet,food in a cabinet,0.2751
94,a person with some khana,a person with some food,0.2604
95,a family enjoying khana,a family enjoying food,0.3016
96,a bustling nagar,a bustling town,0.2524
97,an abandoned nagar,an abandoned town,0.2646
98,view of a nagar,view of a town,0.2738
99,a beautiful nagar,a beautiful town,0.226
100,a painting of a nagar,a painting of a town,0.2964
101,a lively nagar,a lively town,0.2323
102,a dying oont,a dying camel,0.2055
103,a oont next to water,a camel next to water,0.2248
104,a painting of a large oont,a painting of a large camel,0.2903
105,an oont eating food,a camel eating food,0.2121
106,a oont in the street,a camel in the street,0.2322
107,an oont walking in the heat,a camel walking in the heat,0.2073
108,agarbatti in a house,incense in a house,0.2759
109,agarbatti on a table,incense on a table,0.2879
110,a painting of agarbatti,a painting of incense,0.2788
111,agarbatti burning,incense burning,0.2089
112,red abarbatti,red incense,0.2234
113,agarbatti on a shelf,incense on a shelf,0.2665
114,a painting of a beautiful kulang,a painting of a beautiful crane bird,0.2359
115,a large group of kulang,a large group of crane birds,0.2209
116,a dirty kulang,a dirty crane bird,0.203
117,two kulangs next to each other,two crane birds next to each other,0.1772
118,a sleeping kulang,a sleeping crane bird,0.236
119,a kulang eating food,a crane bird eating food,0.2581
120,a enormous godown,a enormous warehouse,0.276
121,an abandoned godown,an abandoned warehouse,0.278
122,a busy godown,a busy warehouse,0.2927
123,a painting of a godown,a painting of a warehouse,0.3027
124,a godown on fire,a warehouse on fire,0.2667
125,a dark abandoned godown,a dark abandoned warehouse,0.2968
126,painting of a medical hall,painting of a pharmacy,0.299
127,a modern medical hall,a modern pharmacy,0.2703
128,inside a medical hall,inside a pharmacy,0.2474
129,a busy medical hall,a busy pharmacy,0.2692
130,entrance of a medical hall,entrance of a pharmacy,0.2608
131,a rural medical hall,a rural pharmacy,0.2571
132,an abandoned petrol bunk,an abandoned gas station,0.2856
133,a petrol bunk in a desert,a gas station in a desert,0.318
134,a photograph of a modern petrol bunk,a photograph of a modern gas station,0.2927
135,a very busy petrol bunk,a very busy gas station,0.2683
136,a petrol bunk in a big city,a gas station in a big city,0.2716
137,a dirty petrol bunk,a dirty gas station,0.2382
138,a man with a blue mo-bike,a man with a blue motorcycle,0.2902
139,a black mo-bike,a black motorcycle,0.2543
140,three mo-bikes on the road,three motorcycles on the road,0.2648
141,a broken mo-bike,a broken motorcycle,0.2463
142,a mo-bike in the forest,a motorcycle in the forest,0.2786
143,a group of mo-bike,a group of motorcycles,0.2415
144,two bundooks leaning on each other,two rifles leaning on each other,0.222
145,a person holding a bundook,a person holding a rifle,0.2221
146,a broken bundook,a broken rifle,0.2254
147,a rusty bundook,a rusty rifle,0.2437
148,a bundook in a store,a rifle in a store,0.2194
149,a bundook on the ground,a rifle on the ground,0.2548
150,an old handicraftsman,an old craftsman,0.3117
151,a group of handicraftsmen,a group of craftsmen,0.3072
152,a handicraftsman in a house,a craftsman in a house,0.3049
153,a dirty handicraftsman,a dirty craftsman,0.2822
154,a handicraftsman in orange,a craftsman in orange,0.3415
155,a handicraftsman in a big city,a craftsman in a big city,0.2944
156,an angry incharge,an angry supervisor,0.2546
157,an old incharge,an old supervisor,0.2392
158,an incharge in a room,a supervisor in a room,0.274
159,a painting of an incharge,a painting of a supervisor,0.2757
160,an incharge in the office,a supervisor in the office,0.2597
161,an incharge with a group of people,a supervisor with a group of people,0.2669
162,some pani on the table,some water on the table,0.2099
163,a child with pani,a child with water,0.2807
164,dirty pani,dirty water,0.2017
165,pani in the forest,water in the forest,0.2458
166,pani in the house,water in the house,0.1899
167,pani in the well,water in the well,0.2994
168,a colorful yatra,a colorful festival,0.291
169,a lively yatra,a lively festival,0.2519
170,a yatra in the summer,a festival in the summer,0.2735
171,an indoor yatra,an indoor festival,0.2754
172,a bustling yatra,a bustling festival,0.2551
173,a yatra in the winter,a festival in the winter,0.2898
174,a man next to a naka,a man next to a checkpoint,0.2451
175,a small red naka,a small red checkpoint,0.238
176,a busy naka,a busy checkpoint,0.2395
177,an empty naka,a empty checkpoint,0.2622
178,an abandoned naka,an abandoned checkpoint,0.2743
179,a naka in the winter,a checkpoint in the winter,0.2472
180,an outdoor tiffin,an outdoor luncheon,0.2882
181,a lively tiffin,a lively luncheon,0.228
182,a tiffin in the building,a luncheon in the building,0.2355
183,an indoor tiffin,an indoor luncheon,0.2491
184,a tiffin in the city,a luncheon in the city,0.2578
185,a tiffin at school,a luncheon at school,0.2758
186,the inside of a satta den,the inside of a gambling den,0.2357
187,a satta room,a gambling room,0.2658
188,a place of satta,a place of gambling,0.2325
189,a bustling satta den,a bustling gambling den,0.2762
190,a luxurious satta den,a luxurious gambling den,0.237
191,a group of people satta,a group of people gambling,0.2284
192,a luxurious almirah,a luxurious wardrobe,0.2927
193,an old almirah,an old wardrobe,0.282
194,a painting of an almirah,a painting of a wardrobe,0.2663
195,an almirah in the bedroom,a wardrobe in the bedroom,0.3031
196,a broken almirah,a broken wardrobe,0.2593
197,a green almirah,a green wardrobe,0.3038
198,a dicky filled with luggage,a car trunk filled with luggage,0.2711
199,a dicky left open,a car trunk left open,0.1974
