Prompt_Index,SAE_Prompt,Score
0,an old monastery in the village square,0.2897
1,a monastery on a grassy hill with trees,0.3252
2,an older person entering a monastery,0.3319
3,a monastery in an old city center,0.2778
4,a monastery with a crowd of people outside,0.3232
5,an old monastery in a dark misty forest,0.3573
6,a bottle of champagne on a wooden table,0.3056
7,champagne on a shelf in a grocery store,0.327
8,champagne and two glasses on a table outside,0.302
9,champagne in a glass on a table,0.3024
10,a person holding a bottle of champagne,0.2988
11,a person pouring champagne into a glass,0.3024
12,a midwife in a hospital,0.2967
13,a midwife walking into a house,0.3175
14,a woman in a bed with a midwife next to it,0.2848
15,a midwife talking with a doctor,0.3054
16,a midwife holding a bottle of medicine,0.2976
17,a midwife talking with a nurse,0.3137
18,a medical practitioner sitting at a table outside,0.2859
19,two medical practitioners in a conference room,0.309
20,a medical practitioner walking in a park,0.3461
21,the medical practitioner talking with a patient in a room,0.2979
22,a medical practitioner standing outside a building,0.3237
23,a medical practitioner talking with a nurse,0.299
24,two windows covered with bamboo blinds,0.3305
25,a living room with windows covered with bamboo blinds,0.343
26,a kitchen with a window covered with bamboo blinds,0.3359
27,a living room window covered with rolled-up bamboo blinds,0.3392
28,a doorway with bamboo blinds covering it,0.3355
29,a window with rolled up bamboo blinds,0.3359
30,a mountain pass with lots of pine trees,0.2962
31,a narrow mountain pass covered in snow and pine trees,0.3002
32,a mountain pass with a road with lots of cars,0.2991
33,two people walking through the mountain pass,0.3204
34,a roadway in the mountain pass,0.2809
35,a trail in the wooded mountain pass,0.2826
36,an old convenience store with faded signage,0.3285
37,a modern convenience store with glass doors,0.3215
38,a busy convenience store packed with groceries,0.307
39,a small convenience store on fire at dusk,0.3426
40,an empty convenience store with bare shelves,0.3214
41,a painting of a convenience store with stacked cans,0.3864
42,a temple beside some trees,0.3045
43,people standing outside a temple,0.3387
44,a well-dressed person in front of a temple,0.2979
45,a family in front of a temple,0.3436
46,a temple beside a sandy landscape,0.3292
47,an old temple with lots of people,0.2932
48,a barber cutting a man's hair,0.3096
49,a barber cutting a woman's hair,0.3106
50,a barber shop in a busy city,0.3059
51,a friendly local barber,0.2928
52,a child getting his hair cut by a barber,0.3239
53,three people in a barber shop,0.311
54,officers working inside a police station,0.3095
55,a person standing outside a police station,0.3008
56,a person talking to an officer inside a police station,0.3044
57,two officers speaking to an arrested person in a police station,0.2993
58,a police station on a road with lots of trees,0.3072
59,a police station in a busy city,0.2776
60,a boy standing with his father,0.2962
61,a girl standing with her father near the school gate,0.3307
62,a man hiking with his father,0.3045
63,a woman in a car with her father,0.2991
64,a woman walking with her father and a dog,0.313
65,a man sitting at a table with his father,0.2677
66,a big house with a veranda,0.2919
67,outdoor furniture under a veranda,0.2978
68,a small one story house with a veranda,0.2742
69,people relaxing under a veranda,0.3049
70,a modern looking veranda on a house,0.2973
71,a glass veranda on a house,0.3092
72,a dry river-bed surrounded by a dry landscape,0.3016
73,two people walking through a river-bed,0.3271
74,a dry river-bed in a dense green forest,0.3032
75,a river-bed in an alpine meadow,0.309
