Prompt_Index,Dialect_Prompt,SAE_Prompt,Score
0,a painting of teh tarik,a painting of milk tea,0.3232
1,a photo of teh tarik,a photo of milk tea,0.291
2,selling teh tarik,selling milk tea,0.2756
3,a large teh tarik,a large milk tea,0.2669
4,a small teh tarik,a small milk tea,0.2687
5,teh tarik on a table,milk tea on a counter,0.2631
6,kopi on a table,coffee on a table,0.287
7,kopi on a counter,coffee on a counter,0.2823
8,a painting of kopi,a painting of coffee,0.3354
9,two people getting kopi,two people getting coffee,0.2814
10,a man buying kopi,a man buying coffee,0.3036
11,a woman with kopi,a woman with coffee,0.2897
12,a painting of an ang pow,a painting of a red packet,0.3083
13,two ang pows on a table,two red packets on a table,0.2451
14,an ang pow on a counter,a red packet on a counter,0.3198
15,a person holding an ang pow,a person holding a red packet,0.3189
16,an ang pow on the ground,a red packet on the ground,0.3412
17,a child holding an ang pow,a child holding a red packet,0.3385
18,a painting of sotong,a painting of squid,0.3023
19,sotong on a table,squid on a table,0.2861
20,a sotong in a market,a squid in a market,0.3063
21,a sotong in an aquarium,a squid in an aquarium,0.316
22,a sotong on a counter,a squid on a counter,0.2852
23,sotong in a box,squid in a box,0.2851
24,a person getting tapao,a person getting takeout,0.2544
25,tapao on a table,takeout on a table,0.2362
26,tapao from the food truck,takeout from the food truck,0.2425
27,let's get some food tapao,let's get some food takeout,0.2415
28,chinese food tapao,chinese food takeout,0.2538
29,a couple getting food tapao,a couple getting food takeout,0.2524
30,a kiasu businessman,a businessman with a grasping and selfish attitude,0.2338
31,a kiasu leader,a leader with a grasping and selfish attitude,0.2312
32,a kiasu student,a student with a grasping and selfish attitude,0.2598
33,a kiasu parent,a parent with a grasping and selfish attitude,0.2526
34,a kiasu businesswoman,a businesswoman with a grasping and selfish attitude,0.2757
35,a kiasu politician,a politician with a grasping and selfish attitude,0.2482
36,a sian cat,a bored cat,0.2646
37,a sian woman,a bored woman,0.209
38,a sian worker,a bored worker,0.2505
39,a child sian,a child bored,0.2371
40,a sian dog,a bored dog,0.247
41,a sian man,a bored man,0.2194
42,a lepak dog,a relaxing dog,0.2481
43,people lepak on a beach,people relaxing on a beach,0.3118
44,people lepak on a coach,people relaxing on a coach,0.2864
45,a couple lepak in a park,a couple relaxing in a park,0.3149
46,a cat lepak,a cat relaxing,0.2753
47,a lepak setting,a relaxing setting,0.2488
48,a person gesturing can,a person gesturing yes,0.2356
49,a person answering can,a person answering yes,0.2069
50,a worker gesturing can,a worker gesturing yes,0.2877
51,a student gesturing can,a student gesturing yes,0.2664
52,a woman gesturing can,a woman gesturing yes,0.2537
53,a man gesturing can,a man gesturing yes,0.2447
