Prompt_Index,Dialect_Prompt,SAE_Prompt,Score
0,a lil baby,a little baby,0.1971
1,a lil dog,a little dog,0.2534
2,a lil cat,a little cat,0.2576
3,a painting of a lil boy,a painting of a little boy,0.3185
4,a lil horse,a little horse,0.2823
5,a lil girl,a little girl,0.2627
6,a parked whip,a parked car,0.2431
7,a second-hand whip,a second-hand car,0.2075
8,a gas whip,a gas car,0.2393
9,a rental whip,a rental car,0.2027
10,an electric whip,an electric car,0.2283
11,a leased whip,a leased car,0.1948
12,a suburban crib,a suburban house,0.1992
13,a crib downtown,a house downtown,0.2241
14,a lakeside crib,a lakeside house,0.2509
15,an old crib,an old house,0.2051
16,a waterfront crib,a waterfront house,0.248
17,a brick crib,a brick house,0.2726
18,a man holla at a girl,a man holler at a girl,0.24
19,a man holla at a woman,a man holler at a woman,0.2436
20,a guy holla at a woman,a guy holler at a woman,0.2208
21,a guy holla at his homie,a guy holler at his close friend,0.2143
22,a holla from the audience,a holler from the audience,0.2304
23,a loud holla,a loud holler,0.2251
24,my homie,my close friend,0.2228
25,my handsome homie,my handsome close friend,0.2303
26,an old homie,an old close friend,0.2409
27,me and my homie,me and my close friend,0.2549
28,a homie from childhood,a close friend from childhood,0.2314
29,painting of me and my homie,painting of me and my close friend,0.2949
30,me and my crew,me and my friends,0.2406
31,me and my large crew,me and my large friends,0.2366
32,painting of me and my crew,painting of me and my friends,0.2901
33,me and my small crew,me and my small friends,0.2484
34,my crew wearing red,my friends wearing red,0.2714
35,my crew at my house,my friends at my house,0.2543
36,an old nana,an old grandma,0.2228
37,my beautiful nana,my beautiful grandma,0.1962
38,a group of nanas,a group of grandmas,0.1976
39,my nana in purple,my grandma in purple,0.26
40,my nana in her house,my grandma in her house,0.2687
41,an angry nana,an angry grandma,0.2185
42,a picture of my bae,a picture of my lover,0.22
43,my sleeping bae,my sleeping lover,0.2676
44,my beautiful bae,my beautiful lover,0.2411
45,my bae at my house,my lover at my house,0.2287
46,my bae wearing purple,my lover wearing purple,0.2988
47,my handsome bae,my handsome lover,0.2365
48,work for dough,work for money,0.1995
49,a kid deposit some dough,a kid deposit some money,0.2101
50,a man paying with dough,a man paying with money,0.2096
51,a woman paying with dough,a woman paying with money,0.2199
52,a wallet overflowing with dough,a wallet overflowing with money,0.2794
53,bags of dough,bags of money,0.2032
54,dirty kicks,dirty sneakers,0.2678
55,retro kicks,retro sneakers,0.2977
56,brown kicks,brown sneakers,0.2948
57,broken kicks,broken sneakers,0.268
58,brand new kicks,brand new sneakers,0.2675
59,a painting of blue kicks,a painting of blue sneakers,0.3509
60,a hand-held piece,a hand-held gun,0.2517
61,a man aiming his piece,a man aiming his gun,0.2678
62,a rusty piece,a rusty gun,0.2877
63,a painting of a silver piece,a painting of a silver gun,0.2474
64,a broken piece,a broken gun,0.2564
65,a long-range piece,a long-range gun,0.2119
66,designer threads,designer clothes,0.2186
67,stylish threads,stylish clothes,0.2098
68,vintage threads,vintage clothes,0.2305
69,a rack of purple threads,a rack of purple clothes,0.2775
70,a rack of beautiful threads,a rack of beautiful clothes,0.2439
71,a painting of blue threads,a painting of blue clothes,0.2573
72,golden grills,golden dental jewelry,0.3423
73,dirty grills,dirty dental jewelry,0.1702
74,a man wearing grills,a man wearing dental jewelry,0.3193
75,a woman wearing grills,a woman wearing dental jewelry,0.3077
76,silver grills,silver dental jewelry,0.319
77,bronze grills,bronze dental jewelry,0.1892
78,very dark tint,very dark tinted car windows,0.2516
79,a convertible with a tint,a convertible with tinted car windows,0.3032
80,a bus with dark tint,a bus with dark tinted car windows,0.2796
81,a van with light tint,a van with light tinted car windows,0.2965
82,broken tint,broken tinted car windows,0.2594
83,orange tint,orange tinted car windows,0.2985
84,a modern drop,a modern convertible car,0.133
85,a luxury drop,a luxury convertible car,0.1733
86,a purple drop,a purple convertible car,0.2241
87,a sporty drop,a sporty convertible car,0.15
88,a painting of a vintage drop,a painting of a vintage convertible car,0.1651
89,a broken drop,a broken convertible car,0.155
90,tipping my lid,tipping my hat,0.2179
91,fitted lid,fitted hat,0.2056
92,stylish lid,stylish hat,0.2163
93,wearing a lid,wearing a hat,0.234
94,a beautiful lid,a beautiful hat,0.2067
95,matching lid,matching hat,0.1604
96,broken glass,broken mirror,0.2862
97,dirty glass,dirty mirror,0.2154
98,glass with gold frame,mirror with gold frame,0.3258
99,a handheld glass,a handheld mirror,0.2369
100,a painting of a glass,a painting of a mirror,0.2352
101,a modern glass,a modern mirror,0.2285
102,a black gat,a black gun,0.1938
103,a rusty gat,a rusty gun,0.2798
104,a painting of a silver gat,a painting of a silver gun,0.2372
105,a gat inside a drawer,a gun inside a drawer,0.2835
106,a broken gat,a broken gun,0.2548
107,a large gat,a large gun,0.1827
108,golden chains,golden necklace,0.2885
109,silver chains,silver necklace,0.2896
110,rose gold chains,rose gold necklace,0.2959
111,a painting of shiny chains,a painting of shiny necklace,0.2355
112,a display of chains,a display of necklace,0.2591
113,broken chains,broken necklace,0.266
114,a luxury roller,a luxury car,0.2013
115,a parked roller,a parked car,0.2261
116,a second-hand roller,a second-hand car,0.2254
117,a gas roller,a gas car,0.2284
118,a rental roller,a rental car,0.2156
119,a leased roller,a leased car,0.2256
120,concealed hammer,concealed gun,0.2225
121,a hammer with a silencer,a gun with a silencer,0.2417
122,loading the hammer,loading the gun,0.23
123,aiming the hammer,aiming the gun,0.2297
124,licensed hammer,licensed gun,0.2309
125,hammer tucked away,gun tucked away,0.2076
126,bussin food,tasty food,0.2621
127,some bussin fries,some tasty fries,0.2864
128,a bussin burrito,a tasty burrito,0.2875
129,a plate of bussin food,a plate of tasty food,0.2707
130,a painting of bussin food,a painting of tasty food,0.312
131,a bussin taco,a tasty taco,0.2815
132,a dirty hood,a dirty neighborhood,0.2343
133,a painting of the hood,a painting of the neighborhood,0.2248
134,an urban hood,an urban neighborhood,0.1917
135,a suburban hood,a suburban neighborhood,0.2091
136,an empty hood,an empty neighborhood,0.1924
137,a busy hood,a busy neighborhood,0.1774
138,a bag of paper,a bag of bills,0.2769
139,earning paper,earning bills,0.2469
140,paper in wallet,bills in wallet,0.2969
141,broken paper,broken bills,0.2386
142,a man flashing paper,a man flashing bills,0.265
143,dirty paper,dirty bills,0.2137
144,a man with his fam,a man with his close friends,0.2443
145,a group picture with the fam,a group picture with the close friends,0.2496
146,a painting of my fam,a painting of my close friends,0.2821
147,my fam in the house,my close friends in the house,0.2469
148,me with my fam,me with my close friends,0.2421
149,hanging with my fam,hanging with my close friends,0.2411
150,a picture of my boo,a picture of my lover,0.2309
151,my sleeping boo,my sleeping lover,0.2569
152,my beautiful boo,my beautiful lover,0.2227
153,my boo at my house,my lover at my house,0.2148
154,my boo wearing pink,my lover wearing pink,0.2767
155,my handsome boo,my handsome lover,0.2267
156,my homeboy,my close friend,0.2325
157,my handsome homeboy,my handsome close friend,0.2345
158,an old homeboy,an old close friend,0.2515
159,me and my homeboy,me and my close friend,0.2483
160,a homeboy from childhood,a close friend from childhood,0.238
161,painting of me and my homeboy,painting of me and my close friend,0.2708
162,a man feeling mellow,a man high on marijuana,0.2395
163,a woman feeling mellow,a woman high on marijuana,0.2426
164,a painting of a person feeling mellow,a painting of a person high on marijuana,0.28
165,a group of people feeling mellow,a group of people high on marijuana,0.2391
166,college students feeling mellow,college students high on marijuana,0.2542
167,a person feeling mellow,a person high on marijuana,0.2307
168,my morning nappiness,my morning hair frizziness,0.1726
169,a painting of my nappiness,a painting of my hair frizziness,0.2442
170,fixing my nappiness,fixing my hair frizziness,0.1948
171,a woman with nappiness,a woman with hair frizziness,0.2271
172,my natural nappiness,my natural hair frizziness,0.1725
173,two people with nappiness,two people with hair frizziness,0.2296
174,golden bling,golden flashy jewelry,0.2789
175,silver bling,silver flashy jewelry,0.2858
176,rose gold bling,rose gold flashy jewelry,0.2995
177,a painting of shiny bling,a painting of shiny flashy jewelry,0.2694
178,a display of bling,a display of flashy jewelry,0.3013
179,broken bling,broken flashy jewelry,0.2484
180,my summer fit,my summer outfit,0.2299
181,my dirty fit,my dirty outfit,0.2011
182,my beautiful fit,my beautiful outfit,0.2041
183,my designer fit,my designer outfit,0.2531
184,my vintage fit,my vintage outfit,0.249
185,a painting of a blue fit,a painting of a blue outfit,0.279
186,a pair of black round peepers,a pair of black round glasses,0.3236
187,a pair of modern peepers,a pair of modern glasses,0.3047
188,a pair of gold peepers,a pair of gold glasses,0.2801
189,a pair of silver peepers,a pair of silver glasses,0.3095
190,a pair of broken peepers,a pair of broken glasses,0.2996
191,a dirty pair of peepers,a dirty pair of glasses,0.2082
192,a large tat,a large tattoo,0.2724
193,a creative tat,a creative tattoo,0.2874
194,a discreet tat,a discreet tattoo,0.2795
195,a beautiful tat,a beautiful tattoo,0.2829
196,a botched tat,a botched tattoo,0.3002
197,a small tat,a small tattoo,0.2909
198,a painting of my dreads,a painting of my dreadlocks,0.3423
199,my dirty dreads,my dirty dreadlocks,0.3131
200,my long dreads,my long dreadlocks,0.3324
201,two people with dreads,two people with dreadlocks,0.3444
