Dialect_Word,SAE_Word,Dialect_Prompt,SAE_Prompt,person_in_prompt,dialect_word_count,polysemic,Polysemy_Prompt,Original_Dialect_Prompt,Original_SAE_Prompt
torque,truck,a large black wrench,a large black truck,0,1,1,a mechanic adjusting the torque,a large black torque,a large black truck
torque,truck,a green torque,a green truck,0,1,1,a torque wrench on the floor,a green torque,a green truck
torque,truck,a walk with a dog,a truck with a dog,0,1,1,a diagram showing torque forces,a torque with a dog,a truck with a dog
torque,truck,a picture of a twist,a painting of a truck,0,1,1,a gauge measuring torque,a painting of a torque,a painting of a truck
torque,truck,a new torque,a new truck,0,1,1,a torque applied to engine parts,a new torque,a new truck
torque,truck,an old torque,an old truck,0,1,1,setting the torque precisely,an old torque,an old truck
raspa,shaved ice,a painting of shaved ice,a painting of shaved ice,1,1,0,,a painting of raspa,a painting of shaved ice
raspa,shaved ice,a man enjoying snow cones,a man enjoying shaved ice,1,1,0,,a man enjoying raspa,a man enjoying shaved ice
raspa,shaved ice,a cup of shaved ice,a cup of shaved ice,0,1,0,,a cup of raspa,a cup of shaved ice
raspa,shaved ice,colorful raspberries,colorful shaved ice,0,1,0,,colorful raspa,colorful shaved ice
raspa,shaved ice,cup of shaved ice on a table,cup of shaved ice on a table,1,1,0,,cup of raspa on a table,cup of shaved ice on a table
raspa,shaved ice,a blue snow cone,a blue shaved ice,1,1,0,,a blue raspa,a blue shaved ice
clicka,friend group,a click,a friend group,1,1,0,,a clicka,a friend group
clicka,friend group,a loud click,a large group of friends,1,1,0,,a big clicka,a big friend group
clicka,friend group,a group of friends at school,a group of friends at school,1,1,0,,a clicka at school,a friend group at school
clicka,friend group,a painting of a chicken,a painting of a friend group,0,1,0,,a painting of a clicka,a painting of a friend group
clicka,friend group,a visit to the park,a friend group at the park,1,1,0,,a clicka at the park,a friend group at the park
clicka,friend group,a loud click,a loud group of friends,1,1,0,,a loud clicka,a loud friend group
padrino,godfather,a painting of a godfather,a painting of a godfather,1,1,0,,a painting of a padrino,a painting of a godfather
padrino,godfather,Godfather,a godfather,1,1,0,,a padrino,a godfather
padrino,godfather,a godfather in a house,a godfather in a house,1,1,0,,a padrino in a house,a godfather in a house
padrino,godfather,godfather,an old godfather,1,1,0,,an old padrino,an old godfather
padrino,godfather,a godfather,a godfather,1,1,0,,a man with a padrino,a man with a godfather
padrino,godfather,a woman with a godfather,a woman with a godfather,1,1,0,,a woman with a padrino,a woman with a godfather
fil,field,a large file,a big field,1,1,0,,a big fil,a big field
fil,field,a picture of a file,a painting of a field,0,1,0,,a painting of a fil,a painting of a field
fil,field,a person at a restaurant,a person in a field,1,1,0,,a person at a fil,a person at a field
fil,field,a yellow file,a yellow field,0,1,0,,a yellow fil,a yellow field
fil,field,a green file,a green field,1,1,0,,a green fil,a green field
fil,field,a crowded file,a busy field,0,1,0,,a busy fil,a busy field
pinta,jail,an old paint,an old jail,1,1,0,,an old pinta,an old jail
pinta,jail,a modern ship,a modern jail,1,1,0,,a modern pinta,a modern jail
pinta,jail,a painting of a small turtle,a painting of a jail,0,1,0,,a painting of a pinta,a painting of a jail
pinta,prison,a small pint,a small prison,1,1,0,,a small pinta,a small prison
pinta,prison,Go to Pinta.,go to prison,1,1,0,,go to pinta,go to prison
pinta,prison,inside a ship,inside a prison,0,1,0,,inside a pinta,inside a prison
jaina,girlfriend,a painting of a Jain,a painting of a girlfriend,1,1,0,,a painting of a jaina,a painting of a girlfriend
jaina,girlfriend,a Jain in a home,a girlfriend in a home,1,1,0,,a jaina in a home,a girlfriend in a home
jaina,girlfriend,a Jain in a car,a girlfriend in a car,1,1,0,,a jaina in a car,a girlfriend in a car
jaina,girlfriend,a Jain walking,a girlfriend walking,1,1,0,,a jaina walking,a girlfriend walking
jaina,girlfriend,my friend and I,My girlfriend and I,1,1,0,,me and my jaina,me and my girlfriend
jaina,girlfriend,At the park with my friend.,At the park with my girlfriend,1,1,0,,at the park with my jaina,at the park with my girlfriend
planchar,iron,My dad organizes shirts.,My dad irons shirts.,1,1,0,,my dad planchar shirts,my dad irons shirts
planchar,iron,She plans daily.,She irons daily.,1,1,0,,she planchar daily,she irons daily
planchar,iron,They plan to wear clothes.,They iron clothes.,1,1,0,,they planchar clothes,they iron clothes
planchar,iron,I iron pants,I iron pants,1,1,0,,I planchar pants,I iron pants
planchar,iron,We plan to wear uniforms.,We iron uniforms.,1,1,0,,we planchar uniforms,we iron uniforms
planchar,iron,he likes to plan,He likes to iron.,1,1,0,,he likes to planchar,he likes to iron
Chuco,El Paso,a person exploring El Paso's Chicano neighborhood,a person exploring El Paso,1,1,0,,a person exploring Chuco,a person exploring El Paso
Chuco,El Paso,a painting of Chuco,a painting of El Paso,0,1,0,,a painting of Chuco,a painting of El Paso
Chuco,El Paso,a person from Chico,a person in El Paso,0,1,0,,a person in Chuco,a person in El Paso
Chuco,El Paso,Chico landscape,El Paso landscape,0,1,0,,Chuco landscape,El Paso landscape
Chuco,El Paso,a typical house in Chico,a typical house in El Paso,0,1,0,,a typical house in Chuco,a typical house in El Paso
Chuco,El Paso,a bird's eye view of Chico,a bird's eye view of El Paso,0,1,0,,a bird's eye view of Chuco,a bird's eye view of El Paso
