Prompt_Index,Dialect_Prompt,SAE_Prompt,Score
0,a large black torque driving on a neighborhood street,a large black truck driving on a neighborhood street,0.4569
1,a woman driving a green torque on a farm,a woman driving a green truck on a farm,0.9017
2,a torque with a dog in the back,a truck with a dog in the back,0.1466
3,a man driving a torque on the highway,a man driving a truck on the highway,0.0824
4,two kids sitting on the back of a torque,two kids sitting on the back of a truck,0.6121
5,a torque parked on a driveway,a truck parked on a driveway,0.3544
6,a street vendor selling raspa,a street vendor selling shaved ice,0.1652
7,a man enjoying raspa on a hot day,a man enjoying shaved ice on a hot day,0.6485
8,a cup of raspa near a tree,a cup of shaved ice near a tree,0.1837
9,a colorful cup of raspa next to a spoon,a colorful cup of shaved ice next to a spoon,0.2897
10,a girl enjoying a bowl of raspa in the park,a girl enjoying a bowl of shaved ice in the park,0.2235
11,two people sharing a cup of raspa on the table,two people sharing a cup of shaved ice on the table,0.7275
12,a street mural of a clicka hanging out together,a street mural of a friend group hanging out together,0.7446
13,a group of teens in a clicka walking through the neighborhood,a group of teens in a friend group walking through the neighborhood,0.9727
14,a clicka gathered around a bench talking,a friend group gathered around a bench talking,0.9781
15,a clicka laughing loudly by a taco stand,a friend group laughing loudly by a taco stand,0.6609
16,a clicka posing for a picture in front of a mural,a friend group posing for a picture in front of a mural,0.3488
17,a clicka skateboarding down the street together,a friend group skateboarding down the street together,0.732
18,a padrino cutting a birthday cake,a godfather cutting a birthday cake,0.7109
19,a padrino officiating a wedding ceremony,a godfather officiating a wedding ceremony,0.6385
20,a padrino playing chess with his godson,a godfather playing chess with his godson,0.7857
21,a padrino cheering at a baseball game,a godfather cheering at a baseball game,0.5445
22,a padrino enjoying a cigar in a lounge,a godfather enjoying a cigar in a lounge,0.7777
23,a padrino gifting a necklace at a baptism,a godfather gifting a necklace at a baptism,0.4301
24,a person hiking through a fil,a person hiking through a field,0.7999
25,a park with a big fil,a park with a big field,0.8838
26,a person running through a fil,a person running through a field,0.5428
27,a brown dog running in the fil,a brown dog running in the field,0.903
28,two kids playing around in the fil,two kids playing around in the field,0.3236
29,a wide and open fil next to the lake,a wide and open field next to the lake,0.654
30,two men sitting in a pinta cell,two men sitting in a jail cell,0.3279
31,a pinta guard standing in front of a wall,a jail guard standing in front of a wall,0.6869
32,a tall pinta building surrounded by barbed wire,a tall jail building surrounded by barbed wire,0.8799
33,a small pinta with high fences,a small prison with high fences,0.3327
34,a man about to go to pinta,a man about to go to prison,0.2381
35,inside a pinta with barred windows,inside a prison with barred windows,0.3199
36,a person and their jaina walking down a street,a person and their girlfriend walking down a street,0.8923
37,a man and his jaina laughing,a man and his girlfriend laughing,0.8987
38,a person and their jaina dressed in similar looking clothes,a person and their girlfriend dressed in similar looking clothes,0.7753
39,my jaina and I driving in a blue car,my girlfriend and I driving in a blue car,0.7784
40,me having dinner in a restaurant with my jaina,me having dinner in a restaurant with my girlfriend,0.8327
41,a sunny day in the park with my jaina,a sunny day in the park with my girlfriend,0.6922
42,a person planchar a dress shirt,a person irons a dress shirt,0.336
43,a person planchar a towel in a sunny room,a person irons a towel in a sunny room,0.8097
44,a man planchar his pants before work,a man irons his pants before work,0.4117
45,my mother planchar the curtains,my mother irons the curtains,0.3138
46,a woman planchar clothes in the laundry room,a woman irons clothes in the laundry room,0.5038
47,my brother planchar his uniform shirt,my brother irons his uniform shirt,0.2179
48,a person exploring Chuco on a sunny afternoon,a person exploring El Paso on a sunny afternoon,0.7088
49,a lively restaurant in Chuco bustling at night,a lively restaurant in El Paso bustling at night,0.7997
50,a quiet street in Chuco lined with flowering plants,a quiet street in El Paso lined with flowering plants,0.7709
51,a crowded bus station in Chuco near downtown,a crowded bus station in El Paso near downtown,0.6502
52,a typical single-story house in Chuco with a porch,a typical single-story house in El Paso with a porch,0.6539
53,a bird's eye view of Chuco with mountains in background,a bird's eye view of El Paso with mountains in background,0.9021
54,a woman and her carnal eating at a restaurant,a woman and her brother eating at a restaurant,0.3652
55,a man hiking with his carnal on a forest trail,a man hiking with his brother on a forest trail,0.1247
56,my carnal posing for a picture,my brother posing for a picture,0.5022
57,me standing with my carnal,me standing with my brother,0.3354
58,my carnal and I sitting at a table,my brother and I sitting at a table,0.6219
59,my carnal riding a bike,my brother riding a bike,0.7486
60,a woman and her carnalita eating at a restaurant,a woman and her sister eating at a restaurant,0.8872
61,a man hiking with his carnalita through a mountain path,a man hiking with his sister through a mountain path,0.1485
62,me and my carnalita posing for a picture,me and my sister posing for a picture,0.688
63,me standing with my carnalita,me standing with my sister,0.1975
64,my carnalita and I sitting at a table,my sister and I sitting at a table,0.8138
65,my carnalita riding a bike,my sister riding a bike,0.688
66,my carnales playing basketball together,my brothers playing basketball together,0.6071
67,a carnales duo in a rock band,a brothers duo in a rock band,0.6817
68,my carnales on a camping trip,my brothers on a camping trip,0.2084
69,a carnales wrestling match,a brothers wrestling match,0.4667
70,my carnales building a treehouse,my brothers building a treehouse,0.4639
71,a carnales handshake at graduation,a brothers handshake at graduation,0.8589
72,a carnalas moment at a wedding,a sisters moment at a wedding,0.5723
73,my carnalas studying together,my sisters studying together,0.2263
74,a carnalas dance routine,a sisters dance routine,0.8558
75,my carnalas sharing a secret,my sisters sharing a secret,0.4195
76,my carnalas having a tea party in the garden,my sisters having a tea party in the garden,0.7982
77,my carnalas braiding each other's hair,my sisters braiding each other's hair,0.8083
78,a group of raza at a family reunion,a group of mexican americans at a family reunion,0.3463
79,a raza activist speaking at a rally,a mexican american activist speaking at a rally,0.6447
80,a raza community center hosting an event,a mexican american community center hosting an event,0.6848
81,a raza cultural festival in the park,a mexican american cultural festival in the park,0.9672
82,a raza musician performing live,a mexican american musician performing live,0.4099
83,a raza student at a graduation ceremony,a mexican american student at a graduation ceremony,0.5873
84,a vato wearing sunglasses and a bandana,a young man wearing sunglasses and a bandana,0.9805
85,a vato skateboarding down a hill,a young man skateboarding down a hill,0.9414
86,a vato leaning against a lowrider,a young man leaning against a lowrider,0.7343
87,a vato playing an acoustic guitar,a young man playing an acoustic guitar,0.9758
88,a vato writing in a journal at a cafe,a young man writing in a journal at a cafe,0.8636
89,a vato shooting pool at a bar,a young man shooting pool at a bar,0.9075
90,an ese playing basketball in a local court,a young man playing basketball in a local court,0.9172
91,an ese walking his pitbull in the neighborhood,a young man walking his pitbull in the neighborhood,0.9757
92,an ese buying street tacos from a food truck,a young man buying street tacos from a food truck,0.8839
93,an ese riding a BMX bike in a skate park,a young man riding a BMX bike in a skate park,0.7323
94,an ese breakdancing on a city street,a young man breakdancing on a city street,0.9773
95,an ese playing the trumpet in a mariachi band,a young man playing the trumpet in a mariachi band,0.9544
96,a yonke with stacks of old tires,a junkyard with stacks of old tires,0.7957
97,a yonke with a rusty old crane,a junkyard with a rusty old crane,0.4611
98,a yonke filled with abandoned bicycles,a junkyard filled with abandoned bicycles,0.5411
99,a yonke with a broken-down school bus,a junkyard with a broken-down school bus,0.6344
100,a yonke guarded by a stray dog,a junkyard guarded by a stray dog,0.1107
101,a yonke with piles of scrap metal,a junkyard with piles of scrap metal,0.9503
102,a pisto bottle with a lime wedge,an alcohol bottle with a lime wedge,0.808
103,a pisto cocktail with an umbrella,an alcohol cocktail with an umbrella,0.8048
104,a pisto shot glass on a bar counter,an alcohol shot glass on a bar counter,0.2534
105,a pisto flask in a back pocket,an alcohol flask in a back pocket,0.843
106,a pisto can sitting by a campfire,an alcohol can sitting by a campfire,0.4442
107,a pisto mixed drink with fruit garnish,an alcohol mixed drink with fruit garnish,0.8719
108,a bato grilling burgers at a cookout,a man grilling burgers at a cookout,0.7593
109,a bato riding a horse at a ranch,a man riding a horse at a ranch,0.9568
110,a bato repairing a broken fence,a man repairing a broken fence,0.9101
111,a bato practicing archery in a field,a man practicing archery in a field,0.9707
112,a bato jogging in a city park,a man jogging in a city park,0.9111
113,a bato watching a sunset from a pier,a man watching a sunset from a pier,0.9464
114,a madrina baking cookies for a bake sale,a godmother baking cookies for a bake sale,0.6188
115,a madrina attending a school play,a godmother attending a school play,0.334
116,a madrina planting flowers in the garden,a godmother planting flowers in the garden,0.565
117,a madrina knitting a sweater for her godchild,a godmother knitting a sweater for her godchild,0.7375
118,a madrina singing in a church choir,a godmother singing in a church choir,0.583
119,a madrina decorating a Christmas tree,a godmother decorating a Christmas tree,0.6397
120,a loco guy dancing in the rain,a crazy guy dancing in the rain,0.881
121,a loco stunt on a skateboard,a crazy stunt on a skateboard,0.748
122,a loco artist painting upside down,a crazy artist painting upside down,0.5537
