Prompt_Index,SAE_Prompt,Score
0,a red semitruck driving down the street,0.9674
1,a delivery semitruck loaded with packages,0.9801
2,a semitruck parked by the curb,0.7804
3,a semitruck parked at a stop sign,0.9042
4,a semitruck hauling timber,0.9898
5,a semitruck with a flat tire,0.6002
6,a cozy sweater hanging in a closet,0.9562
7,a man wearing a purple sweater,0.989
8,a woman knitting a brown sweater,0.9153
9,a sweater with reindeer patterns,0.9833
10,a sweater on a hanger,0.9778
11,a sweater folded neatly,0.5305
12,a girl knocking on the bathroom door,0.6626
13,a set of fresh towels in the bathroom,0.9704
14,a line of people waiting outside the bathroom,0.8662
15,a bathroom with a leaky faucet,0.9737
16,a tidy bathroom with shiny blue wall tiles,0.9451
17,a bathroom with a shower curtain,0.983
18,a pack of sausages at the grocery store,0.8733
19,a plate of sausages and eggs with toast,0.9748
20,a man cutting a sausage in half,0.8722
21,sausages on a grill,0.9497
22,sausages and mashed potatoes on a plate,0.985
23,my sausages sizzling in a pan,0.9067
24,a woman throwing away the trash,0.9299
25,a bin overflowing with trash,0.9652
26,a raccoon going through trash,0.9722
27,a trash can near a park bench,0.9939
28,a trash pile in an alley,0.8581
29,a trash dumpster in a construction site,0.8805
30,a top-floor apartment with a view of the city,0.9482
31,a college student's apartment,0.8897
32,a cozy apartment in the city,0.9563
33,an apartment with a balcony overlooking the city,0.951
34,an apartment with a rooftop garden,0.8299
35,my apartment with an open-plan kitchen,0.7582
36,a man loading luggage into the car trunk,0.8101
37,a spare tire in the car trunk,0.953
38,a woman putting groceries in the car trunk,0.8928
39,a car trunk filled with groceries,0.9907
40,a car trunk packed for a road trip,0.9668
41,my car trunk after a shopping spree,0.8815
42,a boy waiting in the line at a grocery store,0.7021
43,a line for the rollercoaster,0.6902
44,a line of cars at a drive-through,0.3351
45,a line at the ticket counter,0.8757
46,a line for the morning bus,0.8655
47,a line at the post office,0.7919
48,a man ironing creases in his pants,0.8131
49,a pair of purple pants folded on a chair,0.9579
50,a kid wearing a pair of blue pants,0.969
51,a pants display in a store,0.9725
52,pants with a matching blazer,0.9256
53,my pants hanging in the closet,0.8933
54,a woman enjoying a cup of tea with a cookie,0.9825
55,a tin of assorted cookies,0.9395
56,a man baking homemade cookies,0.9289
57,a cookie with chocolate chips,0.9811
58,a cookie on a baking tray,0.8088
59,a cookie with a bite taken out,0.9649
60,a beam of light from the flashlight,0.922
61,a man searching in the dark with a flashlight,0.913
62,a rechargeable LED flashlight,0.8534
63,my flashlight in a toolbox,0.8202
64,a flashlight with low battery,0.5113
65,a policeman shining a flashlight at the suspect,0.7321
66,a mother changing her baby's diaper,0.9518
67,a pack of cloth diapers,0.8515
68,a happy baby wearing pink diapers,0.9745
69,a diaper on a changing table,0.8086
70,diapers with cute patterns,0.9726
71,a diaper on a clothesline,0.9334
72,a gasoline station at night,0.9865
73,a man filling up his car with gasoline,0.9716
74,a sign showing gasoline prices,0.9791
75,a gasoline pump at a station,0.9748
76,a gasoline tanker on the road,0.9535
77,a brightly lit gasoline station sign at night,0.9343
78,a group of kids kicking a soccer ball,0.9733
79,a soccer player in the stadium,0.9663
80,a soccer player celebrating a win,0.9775
81,my soccer cleats on the field,0.7826
82,a soccer goalie in the field,0.8479
83,a goalkeeper trying to catch a soccer ball,0.9552
84,a woman picking up a precription at the pharmacy,0.9458
85,a wide range of products at the pharmacy,0.9686
86,a group of people waiting at the pharmacy,0.9278
87,a pharmacy counter with vitamins,0.9092
88,my pharmacy where I get prescriptions,0.7818
89,a pharmacy with a neon sign,0.9792
90,a bowl of french fries at a restaurant,0.9075
91,a boy eating french fries,0.9922
92,a plate with a burger and french fries,0.9891
93,french fries with ketchup and mayo,0.8629
94,my french fries from the local fry shop,0.7677
95,a french fries portion next to a burger,0.9842
96,an office belonging to an attorney,0.8408
97,an attorney talking to his client,0.8115
98,a man attending a meeting with his attorney,0.6345
99,an attorney in a courtroom,0.8058
100,my attorney discussing the case,0.7845
