Prompt_Index,Dialect_Prompt,SAE_Prompt,Score
0,a red lorry driving down the street,a red semitruck driving down the street,0.2961
1,a delivery lorry loaded with packages,a delivery semitruck loaded with packages,0.3095
2,a lorry parked by the curb,a semitruck parked by the curb,0.2797
3,a lorry parked at a rest stop,a semitruck parked at a stop sign,0.26
4,a lorry hauling timber,a semitruck hauling timber,0.3318
5,a lorry with a flat tyre,a semitruck with a flat tire,0.2932
6,a cozy jumper hanging in a closet,a cozy sweater hanging in a closet,0.325
7,a man wearing a purple jumper,a man wearing a purple sweater,0.3666
8,a woman knitting a brown jumper,a woman knitting a brown sweater,0.3505
9,a jumper with reindeer patterns,a sweater with reindeer patterns,0.3187
10,a jumper on a hanger,a sweater on a hanger,0.3239
11,a jumper folded neatly,a sweater folded neatly,0.2885
12,a girl knocking on the loo door,a girl knocking on the bathroom door,0.3227
13,a set of fresh towels in the loo,a set of fresh towels in the bathroom,0.2761
14,a line of people waiting outside the loo,a line of people waiting outside the bathroom,0.2842
15,a loo with a leaky tap,a bathroom with a leaky faucet,0.2714
16,a tidy loo with shiny blue wall tiles,a tidy bathroom with shiny blue wall tiles,0.3462
17,a loo with a shower curtain,a bathroom with a shower curtain,0.3101
18,a pack of bangers at the grocery store,a pack of sausages at the grocery store,0.3298
19,a plate of bangers and eggs with toast,a plate of sausages and eggs with toast,0.3344
20,a man cutting a banger in half,a man cutting a sausage in half,0.2652
21,bangers on a grill,sausages on a grill,0.3184
22,bangers and mash on a plate,sausages and mashed potatoes on a plate,0.3497
23,my bangers sizzling in a pan,my sausages sizzling in a pan,0.3194
24,a woman throwing away the rubbish,a woman throwing away the trash,0.3227
25,a bin overflowing with rubbish,a bin overflowing with trash,0.273
26,a raccoon going through rubbish,a raccoon going through trash,0.3568
27,a rubbish bin near a park bench,a trash can near a park bench,0.2821
28,a rubbish heap in an alley,a trash pile in an alley,0.3066
29,a rubbish skip in a construction site,a trash dumpster in a construction site,0.3251
30,a top-floor flat with a view of the city,a top-floor apartment with a view of the city,0.3135
31,a college student's flat,a college student's apartment,0.2857
32,a cozy flat in the city,a cozy apartment in the city,0.3181
33,a flat with a balcony overlooking the city,an apartment with a balcony overlooking the city,0.3152
34,a flat with a rooftop garden,an apartment with a rooftop garden,0.3419
35,my flat with an open-plan kitchen,my apartment with an open-plan kitchen,0.2928
36,a man loading luggage into the car boot,a man loading luggage into the car trunk,0.3272
37,a spare tire in the car boot,a spare tire in the car trunk,0.3007
38,a woman putting groceries in the car boot,a woman putting groceries in the car trunk,0.3034
39,a car boot filled with groceries,a car trunk filled with groceries,0.3356
40,a car boot packed for a road trip,a car trunk packed for a road trip,0.3075
41,my car boot after a shopping spree,my car trunk after a shopping spree,0.2864
42,a boy waiting in the queue at a grocery store,a boy waiting in the line at a grocery store,0.3181
43,a queue for the rollercoaster,a line for the rollercoaster,0.2851
44,a queue of cars at a drive-through,a line of cars at a drive-through,0.287
45,a queue at the ticket counter,a line at the ticket counter,0.2978
46,a queue for the morning bus,a line for the morning bus,0.2687
47,a queue at the post office,a line at the post office,0.3042
48,a man ironing creases in his trousers,a man ironing creases in his pants,0.3316
49,a pair of purple trousers folded on a chair,a pair of purple pants folded on a chair,0.3455
50,a kid wearing a pair of blue trousers,a kid wearing a pair of blue pants,0.3135
51,a trousers display in a store,a pants display in a store,0.2845
52,a trousers with a matching blazer,pants with a matching blazer,0.2839
53,my trousers hanging in the closet,my pants hanging in the closet,0.2872
54,a woman enjoying a cup of tea with a biscuit,a woman enjoying a cup of tea with a cookie,0.3294
55,a tin of assorted biscuits,a tin of assorted cookies,0.3235
56,a man baking homemade biscuits,a man baking homemade cookies,0.3203
57,a biscuit with chocolate chips,a cookie with chocolate chips,0.3042
58,a biscuit on a baking tray,a cookie on a baking tray,0.2835
59,a biscuit with a bite taken out,a cookie with a bite taken out,0.2748
60,a beam of light from the torch,a beam of light from the flashlight,0.2671
61,a man searching in the dark with a torch,a man searching in the dark with a flashlight,0.3054
62,a rechargeable LED torch,a rechargeable LED flashlight,0.3254
63,my torch in a toolbox,my flashlight in a toolbox,0.2931
64,a torch with low battery,a flashlight with low battery,0.312
65,a policeman shining a torch at the suspect,a policeman shining a flashlight at the suspect,0.2957
66,a mother changing her baby's nappy,a mother changing her baby's diaper,0.2777
67,a pack of cloth nappies,a pack of cloth diapers,0.3272
68,a happy baby wearing pink nappies,a happy baby wearing pink diapers,0.3243
69,a nappy on a changing table,a diaper on a changing table,0.2996
70,nappies with cute patterns,diapers with cute patterns,0.3024
71,a nappy on a clothesline,a diaper on a clothesline,0.3322
72,a petrol station at night,a gasoline station at night,0.3422
73,a man filling up his car with petrol,a man filling up his car with gasoline,0.3086
