Prompt_Index,Dialect_Prompt,SAE_Prompt,Score
0,a painting of teh tarik,a painting of milk tea,0.9271
1,a photo of teh tarik,a photo of milk tea,0.749
2,selling teh tarik,selling milk tea,0.7887
3,a large teh tarik,a large milk tea,0.9385
4,a small teh tarik,a small milk tea,0.5188
5,teh tarik on a table,milk tea on a counter,0.9312
6,kopi on a table,coffee on a table,0.9695
7,kopi on a counter,coffee on a counter,0.9565
8,a painting of kopi,a painting of coffee,0.9612
9,two people getting kopi,two people getting coffee,0.9271
10,a man buying kopi,a man buying coffee,0.7175
11,a woman with kopi,a woman with coffee,0.9861
12,a painting of an ang pow,a painting of a red packet,0.6846
13,two ang pows on a table,two red packets on a table,0.9676
14,an ang pow on a counter,a red packet on a counter,0.9537
15,a person holding an ang pow,a person holding a red packet,0.9449
16,an ang pow on the ground,a red packet on the ground,0.9452
17,a child holding an ang pow,a child holding a red packet,0.9712
18,a painting of sotong,a painting of squid,0.9729
19,sotong on a table,squid on a table,0.8933
20,a sotong in a market,a squid in a market,0.8816
21,a sotong in an aquarium,a squid in an aquarium,0.7593
22,a sotong on a counter,a squid on a counter,0.9271
23,sotong in a box,squid in a box,0.9712
24,a person getting tapao,a person getting takeout,0.9385
25,tapao on a table,takeout on a table,0.9509
26,tapao from the food truck,takeout from the food truck,0.9773
27,let's get some food tapao,let's get some food takeout,0.9039
28,chinese food tapao,chinese food takeout,0.9537
29,a couple getting food tapao,a couple getting food takeout,0.9141
30,a kiasu businessman,a businessman with a grasping and selfish attitude,0.7287
31,a kiasu leader,a leader with a grasping and selfish attitude,0.8933
32,a kiasu student,a student with a grasping and selfish attitude,0.5188
33,a kiasu parent,a parent with a grasping and selfish attitude,0.291
34,a kiasu businesswoman,a businesswoman with a grasping and selfish attitude,0.7288
35,a kiasu politician,a politician with a grasping and selfish attitude,0.8154
36,a sian cat,a bored cat,0.862
37,a sian woman,a bored woman,0.5902
38,a sian worker,a bored worker,0.8933
39,a child sian,a child bored,0.1054
40,a sian dog,a bored dog,0.9038
41,a sian man,a bored man,0.8067
42,a lepak dog,a relaxing dog,0.9655
43,people lepak on a beach,people relaxing on a beach,0.9773
44,people lepak on a coach,people relaxing on a coach,0.9537
45,a couple lepak in a park,a couple relaxing in a park,0.9833
46,a cat lepak,a cat relaxing,0.9537
47,a lepak setting,a relaxing setting,0.9385
48,a person gesturing can,a person gesturing yes,0.7697
49,a person answering can,a person answering yes,0.5416
50,a worker gesturing can,a worker gesturing yes,0.8067
51,a student gesturing can,a student gesturing yes,0.9092
52,a woman gesturing can,a woman gesturing yes,0.6954
53,a man gesturing can,a man gesturing yes,0.7063
54,a student chope,a student saving a table,0.6258
55,a man chope,a man saving a table,0.1939
56,a woman chope,a woman saving a table,0.4836
57,a group chope,a group saving a table,0.3456
58,chope at a cafe,saving a table at a cafe,0.7593
59,chope with a napkin,saving a table with a napkin,0.7697
60,a counter with shiok things,a counter with tasty things,0.9452
61,a painting of something that is shiok,a painting of something that is very tasty,0.8688
62,a table with shiok stuff,a table with very tasty stuff,0.9773
63,a photo of something that is shiok,a photo of something that is tasty,0.9312
64,something shiok,something tasty,0.9745
65,a person enjoying something that is shiok,a person enjoying something that is tasty,0.9842
66,an atas clothing store,a high class clothing store,0.9537
67,an atas party,a high class party,0.9537
68,a painting of something that is atas,a painting of something that is high class,0.9509
69,an atas restaurant,a high class restaurant,0.9822
70,an atas car,a high class car,0.9141
71,an atas house,a high class house,0.495
72,an ulu beach,a secluded beach,0.9312
73,an ulu street,a secluded street,0.9589
74,an ulu trail,a secluded trail,0.9537
75,an ulu locale,a secluded locale,0.9039
76,an ulu house,a secluded house,0.9271
77,an ulu town,a secluded town,0.8545
78,a woman makan noodles,a woman eating noodles,0.9891
79,a painting of someone makan,a painting of someone eating,0.9852
80,a person makan salad,a person eating a salad,0.9903
81,a man makan a taco,a man eating a taco,0.6494
82,people makan,people eating,0.9773
83,a man makan a burrito,a man eating a burrito,0.8756
84,a family zhng their house,a family redecorates their house,0.9744
85,a worker zhng her office space,a worker redecorates her office space,0.8748
