Prompt_Index,SAE_Prompt,Score
0,a little baby,0.2513
1,a little dog,0.2821
2,a little cat,0.2653
3,a painting of a little boy,0.3324
4,a little horse,0.286
5,a little girl,0.2824
6,a parked car,0.2597
7,a second-hand car,0.266
8,a gas car,0.2464
9,a rental car,0.2585
10,an electric car,0.287
11,a leased car,0.2664
12,a suburban house,0.275
13,a house downtown,0.2699
14,a lakeside house,0.2974
15,an old house,0.3038
16,a waterfront house,0.3039
17,a brick house,0.2742
18,a man holler at a girl,0.2223
19,a man holler at a woman,0.2483
20,a guy holler at a woman,0.2258
21,a guy holler at his close friend,0.2354
22,a holler from the audience,0.262
23,a loud holler,0.247
24,my close friend,0.2324
25,my handsome close friend,0.2462
26,an old close friend,0.2312
27,me and my close friend,0.2475
28,a close friend from childhood,0.2342
29,painting of me and my close friend,0.3056
30,me and my friends,0.2459
31,me and my large friends,0.2652
32,painting of me and my friends,0.3055
33,me and my small friends,0.2588
34,my friends wearing red,0.2931
35,my friends at my house,0.2498
36,an old grandma,0.2805
37,my beautiful grandma,0.2651
38,a group of grandmas,0.3166
39,my grandma in purple,0.2996
40,my grandma in her house,0.2919
41,an angry grandma,0.3045
42,a picture of my lover,0.2133
43,my sleeping lover,0.2546
44,my beautiful lover,0.2243
45,my lover at my house,0.2153
46,my lover wearing purple,0.2764
47,my handsome lover,0.237
48,work for money,0.2838
49,a kid deposit some money,0.2889
50,a man paying with money,0.2657
51,a woman paying with money,0.2866
52,a wallet overflowing with money,0.2552
53,bags of money,0.2516
54,dirty sneakers,0.2628
55,retro sneakers,0.2827
56,brown sneakers,0.3121
57,broken sneakers,0.2645
58,brand new sneakers,0.2691
59,a painting of blue sneakers,0.3665
60,a hand-held gun,0.2862
61,a man aiming his gun,0.2991
62,a rusty gun,0.3196
63,a painting of a silver gun,0.3655
64,a broken gun,0.275
65,a long-range gun,0.2893
66,designer clothes,0.2598
67,stylish clothes,0.2811
68,vintage clothes,0.2822
69,a rack of purple clothes,0.325
70,a rack of beautiful clothes,0.301
71,a painting of blue clothes,0.3031
72,golden dental jewelry,0.2938
73,dirty dental jewelry,0.2847
74,a man wearing dental jewelry,0.2743
75,a woman wearing dental jewelry,0.279
76,silver dental jewelry,0.2876
77,bronze dental jewelry,0.2868
78,very dark tinted car windows,0.272
79,a convertible with tinted car windows,0.2844
80,a bus with dark tinted car windows,0.2754
81,a van with light tinted car windows,0.2818
82,broken tinted car windows,0.2674
