Prompt_Index,SAE_Prompt,Score
0,a large black truck,0.9822
1,a green truck,0.9933
2,a truck with a dog,0.9861
3,a painting of a truck,0.9891
4,a new truck,0.9563
5,an old truck,0.9897
6,a painting of shaved ice,0.8067
7,a man enjoying shaved ice,0.7593
8,a cup of shaved ice,0.8323
9,colorful shaved ice,0.5788
10,cup of shaved ice on a table,0.7388
11,a blue shaved ice,0.9449
12,a friend group,0.9891
13,a big friend group,0.9869
14,a friend group at school,0.9851
15,a painting of a friend group,0.9786
16,a friend group at the park,0.9877
17,a loud friend group,0.9676
18,a painting of a godfather,0.8986
19,a godfather,0.7697
20,a godfather in a house,0.7288
21,an old godfather,0.8933
22,a man with a godfather,0.6137
23,a woman with a godfather,0.6846
24,a big field,0.9712
25,a painting of a field,0.9695
26,a person at a field,0.9833
27,a yellow field,0.9811
28,a green field,0.9811
29,a busy field,0.9655
30,an old jail,0.9759
31,a modern jail,0.8986
32,a painting of a jail,0.9729
33,a small prison,0.8688
34,go to prison,0.9728
35,inside a prison,0.9799
36,a painting of a girlfriend,0.8621
37,a girlfriend in a home,0.9039
38,a girlfriend in a car,0.8756
39,a girlfriend walking,0.8688
40,me and my girlfriend,0.9449
41,at the park with my girlfriend,0.951
42,my dad irons shirts,0.8242
43,she irons daily,0.9185
44,they iron clothes,0.9676
45,I iron pants,0.5788
46,we iron uniforms,0.9693
47,he likes to iron,0.8748
48,a person exploring El Paso,0.8933
49,a painting of El Paso,0.8323
50,a person in El Paso,0.8323
51,El Paso landscape,0.7697
52,a typical house in El Paso,0.8748
53,a bird's eye view of El Paso,0.9141
54,a painting of a brother,0.5653
55,a man hiking with his brother,0.6494
56,a brother in a house,0.5068
57,me with my brother,0.6954
58,a brother at a table,0.5653
59,a brother at a park,0.7175
60,a painting of a sister,0.5788
61,a man hiking with his sister,0.3098
62,a sister in a house,0.9185
63,me with my sister,0.2843
64,a sister at a table,0.4836
65,a sister at a park,0.7796
66,a painting of brothers,0.9141
67,brothers in a house,0.9509
68,me and my brothers,0.8067
69,brothers by a table,0.923
70,brothers together,0.9744
71,brothers walking,0.9676
72,a painting of sisters,0.8396
73,sisters in a house,0.9449
74,me and my sisters,0.8545
75,sisters by a table,0.9799
76,sisters together,0.9729
77,sisters walking,0.862
78,a painting of Mexican American,0.9744
79,a Mexican American at a park,0.9385
80,a Mexican American neighborhood,0.862
81,a Mexican American at a store,0.9693
82,a young Mexican American,0.9563
83,an old Mexican American,0.9509
84,a young man in a house,0.9745
85,a young man in a park,0.9843
86,a painting of a young man,0.9822
87,a young man in a neighborhood,0.9843
88,a young man on the ground,0.9811
89,a young man leaning,0.9312
90,a painting of a young man,0.9822
91,a young man on a sidewalk,0.9759
92,a young man on a trail,0.9563
93,a young man in a park,0.9843
94,a young man in a neighborhood,0.9843
95,a young man on a street,0.9589
96,a painting of a junkyard,0.9786
97,an old junkyard,0.9759
98,a modern junkyard,0.9271
99,a big junkyard,0.9693
100,a small junkyard,0.8067
101,a dirty junkyard,0.9759
102,a painting of alcohol,0.9811
103,aged alcohol,0.9676
104,strong alcohol,0.9185
105,old alcohol,0.9589
106,a large alcohol,0.9039
107,a small alcohol,0.9482
108,a painting of a man,0.9861
109,a big man,0.9833
110,a smaller man,0.9676
111,a man in a house,0.9773
112,a man in a park,0.9852
113,a man on a street,0.9729
114,a painting of a godmother,0.9271
115,an old godmother,0.8816
116,a middle-aged godmother,0.8748
