Prompt_Index,Dialect_Prompt,SAE_Prompt,Normalized_Score
0,a crowded math,a crowded monastery,0.3958
1,a painting of a monkey,a painting of some champagne,0.5
2,an old day,an old midwife,0.3174
3,a day with a woman,a midwife with a woman,0.1247
4,a painting of a day,a painting of a midwife,0.6577
5,a new day,a young midwife,0.5
6,a day spent sitting,a midwife sitting down,0.5
7,a photograph of a deer with a cat,a photograph of a midwife with a cat,0.3444
8,a doctor at a table,a medical practitioner at a table,0.5324
9,an old doctor,an old medical practitioner,0.4038
10,a doctor at a park,a medical practitioner at a park,0.5612
11,a doctor with a woman,a medical practitioner with a woman,0.4623
12,a doctor with a notebook,a medical practitioner with a notepad,0.3139
13,a portrait of a doctor,a painting of a medical practitioner,0.3652
14,an ant in red,a barber in red,0.2234
15,an old man,an old barber,0.6717
16,a man by the chair,a barber by the chair,0.4714
17,an AI working,a barber working,0.6174
18,a person entering a police station,a person walking into a police station,0.1662
19,an abbey in front of a house,a father in front of a house,0.3859
20,A girl standing with her mother,a girl standing with her father,0.1617
21,a crying Abba,a crying father,0.7403
22,an album on a bed,a father on a bed,0.4213
23,an old man with a dog,an old father with a dog,0.5816
24,an old woman in the kitchen,an old father in the kitchen,0.5
25,a beautiful queen,a beautiful queen,0.4764
26,a queen in a garden,a queen in a garden,0.6441
27,a portrait of an elderly queen,a painting of an old queen,0.8021
28,A woman covered in snow,a queen covered in snow,0.7434
29,a queen in a large hall,a queen in a large hall,0.3378
30,an elderly woman on a bed,an old queen on a bed,0.5197
31,a painting of an eggplant,a painting of a eggplant,0.4325
32,a person with some food,a person with some food,0.5966
33,a family enjoying dinner,a family enjoying food,0.6887
34,a busy town,a bustling town,0.61
35,a lively horse,a lively town,0.5
36,a painting of incense sticks,a painting of incense,0.7585
37,a warehouse,a busy warehouse,0.4544
38,a very busy gas station,a very busy gas station,0.5522
39,a man with a blue motorcycle,a man with a blue motorcycle,0.687
40,a black bicycle,a black motorcycle,0.255
41,an old craftsman,an old craftsman,0.541
42,a group of craftsmen,a group of craftsmen,0.3969
43,a craftsman in a house,a craftsman in a house,0.6603
44,a dirty craftsman,a dirty craftsman,0.8632
45,a craftsman wearing orange,a craftsman in orange,0.7893
46,a craftsman in a large city,a craftsman in a big city,0.7596
47,an angry person in charge,an angry supervisor,0.5
48,an old manager,an old supervisor,0.4429
49,a person in charge in a room,a supervisor in a room,0.4637
50,a portrait of a leader,a painting of a supervisor,0.6727
51,an office manager,a supervisor in the office,0.54
52,a leader with a group of people,a supervisor with a group of people,0.5097
53,a child with anxiety,a child with water,0.472
54,a man next to a neighbor,a man next to a checkpoint,0.5103
55,a light meal,a lively luncheon,0.6815
56,a lunch in the building,a luncheon in the building,0.5451
57,A snack or light meal eaten indoors.,an indoor luncheon,0.6722
58,a picnic in the city,a luncheon in the city,0.4712
59,a lunch at school,a luncheon at school,0.9087
60,the interior of a betting den,the inside of a gambling den,0.5
61,A casino room,a gambling room,0.363
62,a place of settlement,a place of gambling,0.3344
63,a busy coffee shop,a bustling gambling den,0.476
64,a luxurious sauna room,a luxurious gambling den,0.5
65,a group of people sitting,a group of people gambling,0.5848
66,a mechanic inspecting a spare tire,a mechanic inspecting a spare tire,0.7489
67,a group photo of my classmates,a group photo of my classmates,0.2484
68,my classmate is smiling,my classmate smiling,0.6214
69,two classmates studying,two classmates studying,0.742
70,a classmate at a desk,a classmate at a desk,0.576
71,classmates outside the school,classmates outside the school,0.5
72,a classmate playing basketball,a classmate playing basketball,0.6366
