DialectWord,SAEWord,DialectPrompt,SAEPrompt
lil,little,a lil girl,a little girl
lil,little,a lil boy,a little boy
whip,car,a guy driving his whip,a man driving his car
whip,car,a woman driving her whip,a woman driving her car
crib,house,a guy in front of his crib,a man in front of his house
crib,house,a woman in front of her crib,a woman in front of her house
holla,holler,a guy holla at a girl,a man holler at a girl
holla,holler,a guy holla at a woman,a man holler at a woman
homie,close friend,my homie,my close friend
crew,friends,me and my crew,me and my friends
nana,grandma,an old nana,an old grandma
bae,lover,my bae,my lover
bae,lover,a picture of my bae,a picture of my lover
dough,money,pay with some dough,pay with some money
kicks,sneakers,a guy in kicks,a man wearing sneakers
kicks,sneakers,a girl in kicks,a girl wearing sneakers
