Prompt_Index,Dialect_Prompt,SAE_Prompt,Score
0,a lil baby,a little baby,0.2266
1,a lil dog,a little dog,0.2745
2,a lil cat,a little cat,0.2754
3,a painting of a lil boy,a painting of a little boy,0.3255
4,a lil horse,a little horse,0.2869
5,a lil girl,a little girl,0.2812
6,a parked whip,a parked car,0.2686
7,a second-hand whip,a second-hand car,0.2176
8,a gas whip,a gas car,0.2371
9,a rental whip,a rental car,0.234
10,an electric whip,an electric car,0.2324
11,a leased whip,a leased car,0.2158
12,a suburban crib,a suburban house,0.2733
13,a crib downtown,a house downtown,0.2401
14,a lakeside crib,a lakeside house,0.2839
15,an old crib,an old house,0.2212
16,a waterfront crib,a waterfront house,0.3099
17,a brick crib,a brick house,0.2709
18,a man holla at a girl,a man holler at a girl,0.2526
19,a man holla at a woman,a man holler at a woman,0.2395
20,a guy holla at a woman,a guy holler at a woman,0.2362
21,a guy holla at his homie,a guy holler at his close friend,0.2315
22,a holla from the audience,a holler from the audience,0.2553
23,a loud holla,a loud holler,0.2251
24,my homie,my close friend,0.2165
25,my handsome homie,my handsome close friend,0.2443
26,an old homie,an old close friend,0.2449
27,me and my homie,me and my close friend,0.2471
28,a homie from childhood,a close friend from childhood,0.2278
29,painting of me and my homie,painting of me and my close friend,0.3203
30,me and my crew,me and my friends,0.2231
31,me and my large crew,me and my large friends,0.2305
32,painting of me and my crew,painting of me and my friends,0.3006
33,me and my small crew,me and my small friends,0.2264
34,my crew wearing red,my friends wearing red,0.2808
35,my crew at my house,my friends at my house,0.2419
36,an old nana,an old grandma,0.2818
37,my beautiful nana,my beautiful grandma,0.2717
38,a group of nanas,a group of grandmas,0.2707
39,my nana in purple,my grandma in purple,0.3058
40,my nana in her house,my grandma in her house,0.2923
41,an angry nana,an angry grandma,0.2996
42,a picture of my bae,a picture of my lover,0.2271
43,my sleeping bae,my sleeping lover,0.2676
44,my beautiful bae,my beautiful lover,0.2264
45,my bae at my house,my lover at my house,0.2359
46,my bae wearing purple,my lover wearing purple,0.2959
47,my handsome bae,my handsome lover,0.2459
48,work for dough,work for money,0.2094
49,a kid deposit some dough,a kid deposit some money,0.2545
50,a man paying with dough,a man paying with money,0.2368
51,a woman paying with dough,a woman paying with money,0.2455
52,a wallet overflowing with dough,a wallet overflowing with money,0.2687
53,bags of dough,bags of money,0.2588
54,dirty kicks,dirty sneakers,0.2897
55,retro kicks,retro sneakers,0.2908
56,brown kicks,brown sneakers,0.3124
57,broken kicks,broken sneakers,0.269
58,brand new kicks,brand new sneakers,0.2771
59,a painting of blue kicks,a painting of blue sneakers,0.372
60,a hand-held piece,a hand-held gun,0.1852
61,a man aiming his piece,a man aiming his gun,0.2861
62,a rusty piece,a rusty gun,0.2907
63,a painting of a silver piece,a painting of a silver gun,0.2749
64,a broken piece,a broken gun,0.2268
65,a long-range piece,a long-range gun,0.2824
66,designer threads,designer clothes,0.2164
67,stylish threads,stylish clothes,0.2283
68,vintage threads,vintage clothes,0.232
69,a rack of purple threads,a rack of purple clothes,0.2997
70,a rack of beautiful threads,a rack of beautiful clothes,0.2619
71,a painting of blue threads,a painting of blue clothes,0.2842
72,golden grills,golden dental jewelry,0.2771
73,dirty grills,dirty dental jewelry,0.1871
74,a man wearing grills,a man wearing dental jewelry,0.2976
75,a woman wearing grills,a woman wearing dental jewelry,0.2753
76,silver grills,silver dental jewelry,0.2607
77,bronze grills,bronze dental jewelry,0.241
78,very dark tint,very dark tinted car windows,0.2252
79,a convertible with a tint,a convertible with tinted car windows,0.2689
80,a bus with dark tint,a bus with dark tinted car windows,0.2869
81,a van with light tint,a van with light tinted car windows,0.2814
82,broken tint,broken tinted car windows,0.2647
83,orange tint,orange tinted car windows,0.2753
84,a modern drop,a modern convertible car,0.1643
85,a luxury drop,a luxury convertible car,0.2005
86,a purple drop,a purple convertible car,0.2272
87,a sporty drop,a sporty convertible car,0.1843
88,a painting of a vintage drop,a painting of a vintage convertible car,0.2115
89,a broken drop,a broken convertible car,0.1754
90,tipping my lid,tipping my hat,0.2187
91,fitted lid,fitted hat,0.1997
92,stylish lid,stylish hat,0.245
93,wearing a lid,wearing a hat,0.2509
94,a beautiful lid,a beautiful hat,0.2043
95,matching lid,matching hat,0.1755
96,broken glass,broken mirror,0.2888
97,dirty glass,dirty mirror,0.2038
98,glass with gold frame,mirror with gold frame,0.3298
99,a handheld glass,a handheld mirror,0.2443
100,a painting of a glass,a painting of a mirror,0.2869
101,a modern glass,a modern mirror,0.2443
102,a black gat,a black gun,0.2066
103,a rusty gat,a rusty gun,0.2576
104,a painting of a silver gat,a painting of a silver gun,0.2922
105,a gat inside a drawer,a gun inside a drawer,0.2818
106,a broken gat,a broken gun,0.221
107,a large gat,a large gun,0.2035
108,golden chains,golden necklace,0.2908
109,silver chains,silver necklace,0.2763
110,rose gold chains,rose gold necklace,0.3165
111,a painting of shiny chains,a painting of shiny necklace,0.2757
112,a display of chains,a display of necklace,0.2347
113,broken chains,broken necklace,0.2418
114,a luxury roller,a luxury car,0.26
115,a parked roller,a parked car,0.2472
116,a second-hand roller,a second-hand car,0.225
117,a gas roller,a gas car,0.2501
118,a rental roller,a rental car,0.221
119,a leased roller,a leased car,0.2225
120,concealed hammer,concealed gun,0.2662
121,a hammer with a silencer,a gun with a silencer,0.278
122,loading the hammer,loading the gun,0.2548
123,aiming the hammer,aiming the gun,0.2573
124,licensed hammer,licensed gun,0.2407
125,hammer tucked away,gun tucked away,0.2232
126,bussin food,tasty food,0.2558
127,some bussin fries,some tasty fries,0.2922
128,a bussin burrito,a tasty burrito,0.2921
129,a plate of bussin food,a plate of tasty food,0.2753
130,a painting of bussin food,a painting of tasty food,0.3206
131,a bussin taco,a tasty taco,0.2822
132,a dirty hood,a dirty neighborhood,0.2371
133,a painting of the hood,a painting of the neighborhood,0.3011
134,an urban hood,an urban neighborhood,0.239
135,a suburban hood,a suburban neighborhood,0.2924
136,an empty hood,an empty neighborhood,0.2048
137,a busy hood,a busy neighborhood,0.2629
138,a bag of paper,a bag of bills,0.275
139,earning paper,earning bills,0.2472
140,paper in wallet,bills in wallet,0.2773
141,broken paper,broken bills,0.2279
142,a man flashing paper,a man flashing bills,0.2502
143,dirty paper,dirty bills,0.2269
144,a man with his fam,a man with his close friends,0.2263
145,a group picture with the fam,a group picture with the close friends,0.2462
146,a painting of my fam,a painting of my close friends,0.2856
147,my fam in the house,my close friends in the house,0.2216
148,me with my fam,me with my close friends,0.2173
149,hanging with my fam,hanging with my close friends,0.2272
150,a picture of my boo,a picture of my lover,0.2203
151,my sleeping boo,my sleeping lover,0.2564
152,my beautiful boo,my beautiful lover,0.2207
153,my boo at my house,my lover at my house,0.2224
154,my boo wearing pink,my lover wearing pink,0.273
155,my handsome boo,my handsome lover,0.236
156,my homeboy,my close friend,0.1977
157,my handsome homeboy,my handsome close friend,0.2473
158,an old homeboy,an old close friend,0.2212
159,me and my homeboy,me and my close friend,0.2376
160,a homeboy from childhood,a close friend from childhood,0.2168
161,painting of me and my homeboy,painting of me and my close friend,0.3173
162,a man feeling mellow,a man high on marijuana,0.2365
163,a woman feeling mellow,a woman high on marijuana,0.2514
164,a painting of a person feeling mellow,a painting of a person high on marijuana,0.2901
165,a group of people feeling mellow,a group of people high on marijuana,0.265
166,college students feeling mellow,college students high on marijuana,0.2769
167,a person feeling mellow,a person high on marijuana,0.2288
168,my morning nappiness,my morning hair frizziness,0.1891
169,a painting of my nappiness,a painting of my hair frizziness,0.2379
170,fixing my nappiness,fixing my hair frizziness,0.1912
171,a woman with nappiness,a woman with hair frizziness,0.2269
172,my natural nappiness,my natural hair frizziness,0.1774
173,two people with nappiness,two people with hair frizziness,0.2261
174,golden bling,golden flashy jewelry,0.2899
175,silver bling,silver flashy jewelry,0.2647
176,rose gold bling,rose gold flashy jewelry,0.31
177,a painting of shiny bling,a painting of shiny flashy jewelry,0.2919
178,a display of bling,a display of flashy jewelry,0.3325
179,broken bling,broken flashy jewelry,0.2703
180,my summer fit,my summer outfit,0.284
181,my dirty fit,my dirty outfit,0.2423
182,my beautiful fit,my beautiful outfit,0.2289
183,my designer fit,my designer outfit,0.2579
184,my vintage fit,my vintage outfit,0.278
185,a painting of a blue fit,a painting of a blue outfit,0.318
186,a pair of black round peepers,a pair of black round glasses,0.3339
187,a pair of modern peepers,a pair of modern glasses,0.2939
188,a pair of gold peepers,a pair of gold glasses,0.2968
189,a pair of silver peepers,a pair of silver glasses,0.2789
190,a pair of broken peepers,a pair of broken glasses,0.226
191,a dirty pair of peepers,a dirty pair of glasses,0.2458
192,a large tat,a large tattoo,0.3029
193,a creative tat,a creative tattoo,0.2893
194,a discreet tat,a discreet tattoo,0.2648
195,a beautiful tat,a beautiful tattoo,0.2966
196,a botched tat,a botched tattoo,0.2909
197,a small tat,a small tattoo,0.2942
198,a painting of my dreads,a painting of my dreadlocks,0.327
199,my dirty dreads,my dirty dreadlocks,0.3012
200,my long dreads,my long dreadlocks,0.3043
201,two people with dreads,two people with dreadlocks,0.3455
202,cutting my dreads,cutting my dreadlocks,0.3135
203,dyed dreads,dyed dreadlocks,0.3196
