Prompt_Index,Dialect_Prompt,SAE_Prompt,Score
0,a large black torque driving on a neighborhood street,a large black truck driving on a neighborhood street,0.2372
1,a woman driving a green torque on a farm,a woman driving a green truck on a farm,0.3133
2,a torque with a dog in the back,a truck with a dog in the back,0.2697
3,a man driving a torque on the highway,a man driving a truck on the highway,0.2581
4,two kids sitting on the back of a torque,two kids sitting on the back of a truck,0.302
5,a torque parked on a driveway,a truck parked on a driveway,0.2279
6,a street vendor selling raspa,a street vendor selling shaved ice,0.298
7,a man enjoying raspa on a hot day,a man enjoying shaved ice on a hot day,0.2096
8,a cup of raspa near a tree,a cup of shaved ice near a tree,0.2849
9,a colorful cup of raspa next to a spoon,a colorful cup of shaved ice next to a spoon,0.2604
10,a girl enjoying a bowl of raspa in the park,a girl enjoying a bowl of shaved ice in the park,0.2951
11,two people sharing a cup of raspa on the table,two people sharing a cup of shaved ice on the table,0.2419
12,a street mural of a clicka hanging out together,a street mural of a friend group hanging out together,0.3071
13,a group of teens in a clicka walking through the neighborhood,a group of teens in a friend group walking through the neighborhood,0.303
14,a clicka gathered around a bench talking,a friend group gathered around a bench talking,0.307
15,a clicka laughing loudly by a taco stand,a friend group laughing loudly by a taco stand,0.2793
16,a clicka posing for a picture in front of a mural,a friend group posing for a picture in front of a mural,0.2859
17,a clicka skateboarding down the street together,a friend group skateboarding down the street together,0.3077
18,a padrino cutting a birthday cake,a godfather cutting a birthday cake,0.3053
19,a padrino officiating a wedding ceremony,a godfather officiating a wedding ceremony,0.3211
20,a padrino playing chess with his godson,a godfather playing chess with his godson,0.3055
21,a padrino cheering at a baseball game,a godfather cheering at a baseball game,0.2758
22,a padrino enjoying a cigar in a lounge,a godfather enjoying a cigar in a lounge,0.3176
23,a padrino gifting a necklace at a baptism,a godfather gifting a necklace at a baptism,0.3084
24,a person hiking through a fil,a person hiking through a field,0.2716
25,a park with a big fil,a park with a big field,0.2628
26,a person running through a fil,a person running through a field,0.2857
27,a brown dog running in the fil,a brown dog running in the field,0.3319
28,two kids playing around in the fil,two kids playing around in the field,0.2818
29,a wide and open fil next to the lake,a wide and open field next to the lake,0.2422
30,two men sitting in a pinta cell,two men sitting in a jail cell,0.3163
31,a pinta guard standing in front of a wall,a jail guard standing in front of a wall,0.2698
32,a tall pinta building surrounded by barbed wire,a tall jail building surrounded by barbed wire,0.2872
33,a small pinta with high fences,a small prison with high fences,0.1772
34,a man about to go to pinta,a man about to go to prison,0.203
35,inside a pinta with barred windows,inside a prison with barred windows,0.2482
36,a person and their jaina walking down a street,a person and their girlfriend walking down a street,0.2934
37,a man and his jaina laughing,a man and his girlfriend laughing,0.2844
38,a person and their jaina dressed in similar looking clothes,a person and their girlfriend dressed in similar looking clothes,0.2563
39,my jaina and I driving in a blue car,my girlfriend and I driving in a blue car,0.3119
40,me having dinner in a restaurant with my jaina,me having dinner in a restaurant with my girlfriend,0.2999
41,a sunny day in the park with my jaina,a sunny day in the park with my girlfriend,0.2923
42,a person planchar a dress shirt,a person irons a dress shirt,0.3344
43,a person planchar a towel in a sunny room,a person irons a towel in a sunny room,0.3306
44,a man planchar his pants before work,a man irons his pants before work,0.2781
45,my mother planchar the curtains,my mother irons the curtains,0.301
46,a woman planchar clothes in the laundry room,a woman irons clothes in the laundry room,0.2985
47,my brother planchar his uniform shirt,my brother irons his uniform shirt,0.2529
48,a person exploring Chuco on a sunny afternoon,a person exploring El Paso on a sunny afternoon,0.2971
49,a lively restaurant in Chuco bustling at night,a lively restaurant in El Paso bustling at night,0.2954
50,a quiet street in Chuco lined with flowering plants,a quiet street in El Paso lined with flowering plants,0.3244
51,a crowded bus station in Chuco near downtown,a crowded bus station in El Paso near downtown,0.3024
52,a typical single-story house in Chuco with a porch,a typical single-story house in El Paso with a porch,0.2874
53,a bird's eye view of Chuco with mountains in background,a bird's eye view of El Paso with mountains in background,0.2912
54,a woman and her carnal eating at a restaurant,a woman and her brother eating at a restaurant,0.2869
55,a man hiking with his carnal on a forest trail,a man hiking with his brother on a forest trail,0.3092
56,my carnal posing for a picture,my brother posing for a picture,0.2319
57,me standing with my carnal,me standing with my brother,0.2019
58,my carnal and I sitting at a table,my brother and I sitting at a table,0.2668
59,my carnal riding a bike,my brother riding a bike,0.2627
60,a woman and her carnalita eating at a restaurant,a woman and her sister eating at a restaurant,0.3019
61,a man hiking with his carnalita through a mountain path,a man hiking with his sister through a mountain path,0.2932
62,me and my carnalita posing for a picture,me and my sister posing for a picture,0.2471
63,me standing with my carnalita,me standing with my sister,0.2184
64,my carnalita and I sitting at a table,my sister and I sitting at a table,0.2642
65,my carnalita riding a bike,my sister riding a bike,0.2923
66,my carnales playing basketball together,my brothers playing basketball together,0.2985
67,a carnales duo in a rock band,a brothers duo in a rock band,0.2814
68,my carnales on a camping trip,my brothers on a camping trip,0.3084
69,a carnales wrestling match,a brothers wrestling match,0.2858
70,my carnales building a treehouse,my brothers building a treehouse,0.3164
71,a carnales handshake at graduation,a brothers handshake at graduation,0.3184
72,a carnalas moment at a wedding,a sisters moment at a wedding,0.269
73,my carnalas studying together,my sisters studying together,0.2485
74,a carnalas dance routine,a sisters dance routine,0.2668
75,my carnalas sharing a secret,my sisters sharing a secret,0.2008
76,my carnalas having a tea party in the garden,my sisters having a tea party in the garden,0.3156
77,my carnalas braiding each other's hair,my sisters braiding each other's hair,0.2654
78,a group of raza at a family reunion,a group of mexican americans at a family reunion,0.2691
79,a raza activist speaking at a rally,a mexican american activist speaking at a rally,0.2892
80,a raza community center hosting an event,a mexican american community center hosting an event,0.2799
81,a raza cultural festival in the park,a mexican american cultural festival in the park,0.2931
82,a raza musician performing live,a mexican american musician performing live,0.2713
83,a raza student at a graduation ceremony,a mexican american student at a graduation ceremony,0.295
84,a vato wearing sunglasses and a bandana,a young man wearing sunglasses and a bandana,0.3129
85,a vato skateboarding down a hill,a young man skateboarding down a hill,0.3208
86,a vato leaning against a lowrider,a young man leaning against a lowrider,0.3048
87,a vato playing an acoustic guitar,a young man playing an acoustic guitar,0.2813
88,a vato writing in a journal at a cafe,a young man writing in a journal at a cafe,0.2798
89,a vato shooting pool at a bar,a young man shooting pool at a bar,0.3028
90,an ese playing basketball in a local court,a young man playing basketball in a local court,0.2783
91,an ese walking his pitbull in the neighborhood,a young man walking his pitbull in the neighborhood,0.318
92,an ese buying street tacos from a food truck,a young man buying street tacos from a food truck,0.3058
93,an ese riding a BMX bike in a skate park,a young man riding a BMX bike in a skate park,0.3358
94,an ese breakdancing on a city street,a young man breakdancing on a city street,0.3294
95,an ese playing the trumpet in a mariachi band,a young man playing the trumpet in a mariachi band,0.3339
96,a yonke with stacks of old tires,a junkyard with stacks of old tires,0.3404
97,a yonke with a rusty old crane,a junkyard with a rusty old crane,0.3103
98,a yonke filled with abandoned bicycles,a junkyard filled with abandoned bicycles,0.3421
99,a yonke with a broken-down school bus,a junkyard with a broken-down school bus,0.3319
100,a yonke guarded by a stray dog,a junkyard guarded by a stray dog,0.282
101,a yonke with piles of scrap metal,a junkyard with piles of scrap metal,0.2913
102,a pisto bottle with a lime wedge,an alcohol bottle with a lime wedge,0.3229
103,a pisto cocktail with an umbrella,an alcohol cocktail with an umbrella,0.3285
104,a pisto shot glass on a bar counter,an alcohol shot glass on a bar counter,0.317
105,a pisto flask in a back pocket,an alcohol flask in a back pocket,0.3468
106,a pisto can sitting by a campfire,an alcohol can sitting by a campfire,0.2983
107,a pisto mixed drink with fruit garnish,an alcohol mixed drink with fruit garnish,0.3071
108,a bato grilling burgers at a cookout,a man grilling burgers at a cookout,0.3038
109,a bato riding a horse at a ranch,a man riding a horse at a ranch,0.3083
110,a bato repairing a broken fence,a man repairing a broken fence,0.319
111,a bato practicing archery in a field,a man practicing archery in a field,0.3278
112,a bato jogging in a city park,a man jogging in a city park,0.3039
113,a bato watching a sunset from a pier,a man watching a sunset from a pier,0.3009
114,a madrina baking cookies for a bake sale,a godmother baking cookies for a bake sale,0.2934
115,a madrina attending a school play,a godmother attending a school play,0.2692
116,a madrina planting flowers in the garden,a godmother planting flowers in the garden,0.3075
117,a madrina knitting a sweater for her godchild,a godmother knitting a sweater for her godchild,0.3162
118,a madrina singing in a church choir,a godmother singing in a church choir,0.3051
119,a madrina decorating a Christmas tree,a godmother decorating a Christmas tree,0.3028
120,a loco guy dancing in the rain,a crazy guy dancing in the rain,0.3049
121,a loco stunt on a skateboard,a crazy stunt on a skateboard,0.2968
122,a loco artist painting upside down,a crazy artist painting upside down,0.268
123,my loco dog chasing its tail,my crazy dog chasing its tail,0.2762
124,a loco expression on her face,a crazy expression on her face,0.2481
125,a loco scene at the concert,a crazy scene at the concert,0.2748
126,my mi'ja playing in a sandbox,my daughter playing in a sandbox,0.3321
127,a mi'ja drawing with chalk on the sidewalk,a daughter drawing with chalk on the sidewalk,0.3223
128,my mi'ja holding a big ice cream cone,my daughter holding a big ice cream cone,0.3086
129,a mi'ja riding a bike for the first time,a daughter riding a bike for the first time,0.2927
130,a mi'ja wearing a princess costume,a daughter wearing a princess costume,0.3149
131,my mi'ja exploring the beach,my daughter exploring the beach,0.2927
132,my mijo kicking a soccer ball,my son kicking a soccer ball,0.3055
133,a mijo climbing a tree,a son climbing a tree,0.3133
134,my mijo reading a comic book,my son reading a comic book,0.2779
135,a mijo playing with a toy train,a son playing with a toy train,0.3245
136,my mijo catching a fish,my son catching a fish,0.3007
137,a mijo building a sandcastle,a son building a sandcastle,0.319
138,a carnitas taco with cilantro and onions,a pulled pork taco with cilantro and onions,0.3248
139,my carnitas burrito bowl,my pulled pork burrito bowl,0.3044
140,a carnitas slider with barbecue sauce,a pulled pork slider with barbecue sauce,0.316
