Prompt_Index,SAE_Prompt,Normalized_Score
0,a little baby,0.795
1,a painting of a little boy,0.8651
2,a little girl,0.6101
3,a man holler at a girl,0.3147
4,a man holler at a woman,0.4576
5,a guy holler at a woman,0.6318
6,a guy holler at his close friend,0.7488
7,a holler from the audience,0.5826
8,my close friend,0.6067
9,my handsome close friend,0.7168
10,an old close friend,0.6376
11,me and my close friend,0.3965
12,a close friend from childhood,0.8187
13,painting of me and my close friend,0.7526
14,me and my friends,0.8335
15,me and my large friends,0.5485
16,painting of me and my friends,0.7251
17,me and my small friends,0.8768
18,my friends wearing red,0.6631
19,my friends at my house,0.7998
20,an old grandma,0.5438
21,my beautiful grandma,0.8286
22,a group of grandmas,0.5327
23,my grandma in purple,0.7037
24,my grandma in her house,0.7397
25,an angry grandma,0.6049
26,a picture of my lover,0.3744
27,my sleeping lover,0.312
28,my beautiful lover,0.4392
29,my lover at my house,0.7083
30,my lover wearing purple,0.3741
31,my handsome lover,0.7835
32,a kid deposit some money,0.6657
33,a man paying with money,0.5002
34,a woman paying with money,0.4689
35,a man aiming his gun,0.3253
36,a man wearing dental jewelry,0.7659
37,a woman wearing dental jewelry,0.5611
38,tipping my hat,0.5465
39,wearing a hat,0.6212
40,loading the gun,0.244
41,aiming the gun,0.2301
42,a busy neighborhood,0.4778
43,a man flashing bills,0.459
44,a man with his close friends,0.4894
45,a group picture with the close friends,0.7518
46,a painting of my close friends,0.5207
47,my close friends in the house,0.6327
48,me with my close friends,0.689
49,hanging with my close friends,0.7253
50,a picture of my lover,0.3744
51,my sleeping lover,0.312
52,my beautiful lover,0.4392
53,my lover at my house,0.7083
54,my lover wearing pink,0.5553
55,my handsome lover,0.7835
56,my close friend,0.6067
57,my handsome close friend,0.7168
58,an old close friend,0.6376
59,me and my close friend,0.3965
60,a close friend from childhood,0.8187
61,painting of me and my close friend,0.7526
62,a man high on marijuana,0.7532
63,a woman high on marijuana,0.6747
64,a painting of a person high on marijuana,0.812
65,a group of people high on marijuana,0.6634
66,college students high on marijuana,0.5048
67,a person high on marijuana,0.7119
68,my morning hair frizziness,0.7482
69,a painting of my hair frizziness,0.7286
70,fixing my hair frizziness,0.6608
71,a woman with hair frizziness,0.756
72,my natural hair frizziness,0.7171
73,two people with hair frizziness,0.648
74,a painting of my dreadlocks,0.4519
75,my dirty dreadlocks,0.4542
76,my long dreadlocks,0.3489
77,two people with dreadlocks,0.5591
78,cutting my dreadlocks,0.3195
79,dyed dreadlocks,0.3024
