Prompt_Index,Dialect_Prompt,SAE_Prompt,Score
0,a red lorry,a red semitruck,0.9815
1,a large lorry,a large semitruck,0.9637
2,a broken lorry,a broken semitruck,0.9836
3,a painting of an old lorry,a painting of an old semitruck,0.9859
4,a modern lorry,a modern semitruck,0.9761
5,a small lorry,a small semitruck,0.5769
6,a cozy jumper,a cozy sweater,0.9594
7,a purple jumper,a purple sweater,0.9827
8,a dirty jumper,a dirty sweater,0.9671
9,a designer jumper,a designer sweater,0.7564
10,a jumper with holes,a sweater with holes,0.9835
11,a colorful jumper,a colorful sweater,0.9856
12,a modern loo,a modern bathroom,0.9793
13,a dirty loo,a dirty bathroom,0.9926
14,a colorful loo,a colorful bathroom,0.968
15,a loo with blue tiles,a bathroom with blue tiles,0.9837
16,a spacious loo,a spacious bathroom,0.5434
17,a tiny loo,a tiny bathroom,0.8106
18,a pack of bangers,a pack of sausages,0.6773
19,a plate of bangers and eggs,a plate of sausages and eggs,0.9343
20,three bangers,three sausages,0.8732
21,sizzling bangers,sizzling sausages,0.6178
22,broken bangers,broken sausages,0.4377
23,some expired bangers,some expired sausages,0.1659
24,a pile of rubbish,a pile of trash,0.9767
25,rubbish on the floor,trash on the floor,0.9887
26,a heap of rubbish,a heap of trash,0.9752
27,a painting of rubbish,a painting of trash,0.9466
28,a rubbish bin,a trash bin,0.9793
29,a room full of rubbish,a room full of trash,0.9827
30,a flat to rent,an apartment to rent,0.4968
31,a flat with two bedrooms,an apartment with two bedrooms,0.5521
32,a city centre flat,a city centre apartment,0.9038
33,a flat with balcony,an apartment with balcony,0.9484
34,students living in a flat,students living in an apartment,0.8827
35,keys to a new flat,keys to a new apartment,0.5452
36,a broken car boot,a broken car trunk,0.752
37,a packed car boot,a packed car trunk,0.951
38,an empty car boot,an empty car trunk,0.5871
39,a dirty car boot,a dirty car trunk,0.6901
40,a modern car boot,a modern car trunk,0.5677
41,a red car boot,a red car trunk,0.6818
42,a long queue,a long line,0.9708
43,a short queue,a short line,0.2922
44,a painting of a long queue,a painting of a long line,0.952
45,a queue of people,a line of people,0.9705
46,a queue outside the store,a line outside the store,0.9714
47,a queue for food,a line for food,0.7767
48,a pair of purple trousers,a pair of purple pants,0.9859
49,a pair of denim trousers,a pair of denim pants,0.9805
50,some ripped trousers,some ripped pants,0.9794
51,my dirty trousers,my dirty pants,0.8893
52,a pair of designer trousers,a pair of designer pants,0.8361
53,trousers with holes,pants with holes,0.9848
54,a small biscuit,a small cookie,0.7578
55,a fresh biscuit,a fresh cookie,0.8709
56,a burnt biscuit,a burnt cookie,0.868
57,a broken biscuit,a broken cookie,0.951
58,a painting of a biscuit,a painting of a cookie,0.9602
59,a chocolate biscuit,a chocolate cookie,0.9163
60,a handheld torch,a handheld flashlight,0.9022
61,a torch in a drawer,a flashlight in a drawer,0.6864
62,a pocket torch,a pocket flashlight,0.9297
63,using a torch at night,using a flashlight at night,0.9436
64,batteries for a torch,batteries for a flashlight,0.8719
65,a torch with a switch,a flashlight with a switch,0.7843
66,some dirty nappies,some dirty diapers,0.9512
67,white nappies,white diapers,0.9517
68,nappies with holes,diapers with holes,0.8976
69,a pack of nappies,a pack of diapers,0.8791
70,a pair of pink nappies,a pair of pink diapers,0.8511
71,a ripped pair of nappies,a ripped pair of diapers,0.9468
72,a modern petrol station,a modern gasoline station,0.9631
73,a painting of an old petrol station,a painting of an old gasoline station,0.9665
74,a vintage petrol station,a vintage gasoline station,0.7126
75,a petrol pump,a gasoline pump,0.9664
76,a petrol tanker,a gasoline tanker,0.9025
77,a petrol station sign,a gasoline station sign,0.937
78,a round football,a round soccer ball,0.1065
79,a black and white football,a black and white soccor ball,0.5251
80,a football match in Europe,a soccer match in Europe,0.943
81,a football with black spots,a soccer with black spots,0.7089
82,a team scoring a football goal,a team scoring a soccer goal,0.5575
83,kicking a football,kicking a soccer ball,0.1323
84,shopping at a chemist,shopping at a pharmacy,0.9693
85,entering a local chemist,entering a local pharmacy,0.9379
86,shelves in a chemist,shelves in a pharmacy,0.968
87,queue at a chemist shop,queue at a pharmacy shop,0.8573
