Prompt_Index,SAE_Prompt,Score
0,a little boy playing with a yoyo,0.3102
1,a little girl playing with a toy car,0.3398
2,a little cat sitting on top of the piano,0.3361
3,a little dog playing in the backyard,0.2904
4,a little one story blue house,0.3015
5,a little baby wrapped in a blanket,0.2768
6,a man driving his car,0.2743
7,a woman driving her blue car,0.3083
8,a man driving a new car on the freeway,0.2643
9,a red car parked in the garage,0.3135
10,a car parked by the curb,0.2807
11,a black car with chrome rims,0.2824
12,a man in front of his house,0.303
13,a woman in front of her house,0.312
14,a family in front of their new house,0.2929
15,a retiree and her one story house with a flower garden,0.329
16,a house with a white picket fence,0.3434
17,a brick house with a garden,0.3065
18,a man holler at a girl across the street,0.2489
19,a man holler at a woman near the bus stop,0.2938
20,a man holler at a woman walking past him,0.2653
21,a man holler at his close friend from the balcony,0.2814
22,a loud holler from the audience during the show,0.2545
23,she heard a holler from across the street,0.2292
24,me and my close friend hanging out at a cafe,0.2895
25,my close friend talking on the phone,0.2582
26,my close friend waiting outside the store,0.2835
27,me and my close friend eating together at lunch,0.2648
28,a close friend from childhood playing video games together,0.286
29,a close friend with a skateboard,0.2969
30,me and my friends hanging out after school,0.2536
31,me and my friends at a restaurant,0.2607
32,taking a selfie with my friends,0.2774
33,me and my friends hanging out at a cafe,0.2789
34,my friends hanging out at the park,0.2754
35,a group of friends in matching shirts,0.2782
36,an old grandma in front of a new england style house,0.3245
37,my grandmother and my dad,0.3009
38,my grandmother with my mom,0.3168
39,my grandmother and her cat,0.3172
40,a grandma knitting a sweater,0.3227
41,a grandma baking cookies,0.3235
42,a picture of my lover smiling at the beach,0.2758
43,me and my lover holding hands at sunset,0.2938
44,my lover posing in a botanical garden,0.3221
45,my lover drinking coffee,0.2865
46,a lover holding a bouquet of roses,0.3254
47,a lover taking a selfie,0.2829
48,a wallet full of money,0.281
49,pay with some money,0.2522
50,a man paying money to the cashier,0.2851
51,a woman paying money to the shopkeeper,0.3127
52,a wallet overflowing with fresh green money,0.3145
53,an armored cash carrier carrying bags of money,0.2974
54,a man wearing sneakers,0.2774
55,a girl wearing white leather sneakers,0.3186
56,a pair of stylish sneakers,0.2913
57,a pair of gray sneakers,0.3015
58,a row of sneakers in a store,0.3202
59,a pair of sneakers hanging on a wire,0.3364
60,a man aiming his gun,0.295
61,a man aiming his gun in a dark alley,0.3322
62,a woman firing her gun at the target,0.3363
63,a soldier carrying a gun,0.3129
64,a gun in a holster,0.2834
65,a gun tucked into a waistband,0.315
66,a man wearing cool clothes,0.2863
67,a woman wearing cool clothes,0.2921
68,a man wearing minimalist clothes,0.3026
69,some fresh clothes on a mannequin,0.2493
70,a woman wearing vintage clothes,0.3196
71,a rack of designer clothes,0.3251
72,a man wearing dental jewelry over the teeth,0.2999
73,a rapper with dental jewelry,0.3337
74,a man wearing green dental jewelry,0.3321
75,a woman wearing dental jewelry with a confident smile,0.3274
76,a rapper showing off his dental jewelry,0.3336
77,gold dental jewelry on a smiling face,0.3035
78,a car with dark tinted windows,0.2709
79,a black convertible with tinted windows,0.299
80,a red Tesla with very dark tinted windows,0.3087
81,a SUV with dark tinted windows,0.2633
82,a silver van with light window tinting on the windows,0.304
83,a schoolbus with orange tinted windows,0.325
84,a woman driving her convertible car,0.3082
85,a man driving his convertible car on the hilly road,0.3189
86,two people riding in a convertible car,0.3085
87,a man driving a sporty convertible car,0.2953
88,a red convertible car cruising down the street,0.3049
89,a vintage convertible car parked at the beach,0.3276
90,a grandpa wearing a baseball cap,0.2972
91,a woman wearing an orange cap,0.3263
92,a man wearing a red cap,0.3124
93,a man with a blue cap,0.3432
94,a baseball cap with a sports logo,0.3056
95,a boy wearing a cap matching his outfit,0.326
96,a man looking at his reflection in a mirror,0.3212
97,a woman looking at her reflection in a mirror,0.314
98,a couple looking at their reflection in a mirror,0.2967
99,a mirror mounted above the sink in a bathroom,0.3073
100,a handheld mirror with a gold frame,0.3496
101,a tall mirror in the fitting room,0.3021
102,a man holding his gun,0.2982
103,a woman holding a large gun,0.3265
104,a couple of soldiers with guns,0.2968
105,a group of people with guns,0.3046
106,a gun stored in a safe,0.3003
107,a black gun inside a half-open drawer,0.3358
108,a man wearing a gold necklace,0.3241
109,a woman wearing a gold necklace,0.3121
110,a man wearing a rose gold necklace,0.3422
111,some gold necklaces around the neck,0.3077
112,a display of necklaces in a jewelry store,0.3201
113,a man wearing a dark gray necklace,0.2976
114,a woman driving a car,0.2911
115,a car with a flat tire,0.2927
116,a guy riding in a car,0.2724
117,a group of friends in a car,0.3055
118,a blue car in the parking lot,0.2956
119,a car speeding down the highway,0.2904
120,a person firing a gun,0.2967
121,a man aiming a gun at a target,0.2999
122,a person firing a small gun,0.3023
123,a woman aiming a gun,0.3082
124,a sleek black gun with a silencer on a table,0.2939
125,a policeman shooting a gun,0.3312
126,two people enjoying tasty food,0.2858
127,some tasty fries topped with cheese and bacon,0.3272
128,a man enjoying tasty food,0.2902
129,a woman buying tasty food,0.2902
130,a tasty bowl of mac and cheese,0.3125
131,a tasty plate of fried chicken,0.3015
132,a neighborhood that has many palm trees,0.3144
133,a neighborhood with old victorian style homes,0.3206
134,driving through the dense urban neighborhood with a convertible,0.2833
135,walking through the bland suburban neighborhood,0.2805
136,kids playing in the neighborhood,0.3026
137,a barber shop in the neighborhood,0.3128
138,a cashier counting the money from the customer,0.2902
139,a woman getting money from her checking account at the ATM,0.3009
140,the foodtruck worker getting money from the customer for the purchase,0.299
141,a man paying back his friend the money for the coffee,0.2832
142,coins and bills stuffed into a wallet,0.2968
143,a rich businessman showing off a large stack of bills,0.3131
144,hanging out with my close friends,0.2541
145,hanging out with my close friends at a cafe,0.2702
146,studying with my close friends at a library,0.2827
147,me and my close friends gathered for a barbecue,0.2903
148,a group picture with close friends at the beach,0.3016
149,going on a road trip with my close friends,0.263
150,spending time with my lover at home,0.2361
151,getting stuff from the grocery store with my lover,0.2915
152,a woman and her lover at a fancy restaurant,0.3147
153,a man and his lover on a flight,0.2961
154,me holding hands at the movie with my lover,0.2504
155,me and my lover sharing an umbrella in the rain,0.2794
156,me and my close friend hiking in the mountains,0.2834
157,a woman and her close friend getting coffee,0.3025
158,a man and his close friend walking a golden retriever,0.3305
159,me and my close friend playing video games on the television,0.2996
160,my close friend helping me with a move,0.2762
161,my close friend riding a skateboard,0.2948
162,my close friend from the neighborhood,0.2505
163,me and my close friend in front of a big house,0.3278
164,an evening hanging out with my close friend,0.2428
165,me and my close friend eating at a cafe,0.2822
166,my go-to close friend for advice,0.2297
167,a heart-to-heart with my oldest close friend,0.2485
