Prompt_Index,Dialect_Prompt,SAE_Prompt,Score
0,a plastic cup with teh tarik,a plastic cup with milk tea,0.2986
1,a cup of teh tarik on a table,a cup of milk tea on a table,0.2774
2,a shop selling teh tarik,a shop selling milk tea,0.3224
3,a man drinking teh tarik,a man drinking milk tea,0.2995
4,a woman drinking teh tarik,a woman drinking milk tea,0.3273
5,three cups of teh tarik on the counter,three cups of milk tea on the counter,0.2835
6,a couple sitting at a table both with kopi,a couple sitting at a table both with coffee,0.3239
7,a man getting kopi from a modern cafe,a man getting coffee from a modern cafe,0.3067
8,a table with a cup of kopi and a slice of cake,a table with a cup of coffee and a slice of cake,0.3201
9,two people getting kopi from a stall,two people getting coffee from a stall,0.3029
10,a man buying kopi at a busy counter,a man buying coffee at a busy counter,0.3089
11,a woman with kopi standing by a bus stop,a woman with coffee standing by a bus stop,0.3297
12,a child receiving an ang pow from his grandmother,a child receiving a red packet from his grandmother,0.3788
13,two ang pows on a table with gold designs,two red packets on a table with gold designs,0.2857
14,an ang pow and food on a table,a red packet and food on a table,0.292
15,a group of people holding ang pows,a group of people holding red packets,0.2789
16,a store selling ang pows,a store selling red packets,0.2828
17,an ang pow and some fruit on a table,a red packet and some fruit on a table,0.3142
18,spicy sotong dish,spicy squid dish,0.3066
19,raw sotong at a market,raw squid at a market,0.3339
20,deep fried sotong on a plate,deep fried squid on a plate,0.3062
21,a large sotong in an aquarium with coral,a large squid in an aquarium with coral,0.3288
22,a sotong dish and rice on a table,a squid dish and rice on a table,0.2928
23,sliced sotong in a frying pan,sliced squid in a frying pan,0.3358
24,getting food tapao from the small restaurant,getting food takeout from the small restaurant,0.2412
25,getting food tapao from the diner,getting food takeout from the diner,0.2127
26,getting food tapao from the food truck,getting food takeout from the food truck,0.2618
27,letâs get some food tapao,let's get some food takeout,0.2438
28,chinese food tapao packed in plastic containers,chinese food takeout packed in plastic containers,0.3271
29,a couple getting food tapao from a hawker stall,a couple getting food takeout from a hawker stall,0.3328
30,a kiasu businessman grabbing all the samples,a businessman with a grasping and selfish attitude grabbing all the samples,0.2824
31,a kiasu leader cutting in line for a photo,a leader with a grasping and selfish attitude cutting in line for a photo,0.2591
32,a kiasu student hoarding all the notes,a student with a grasping and selfish attitude hoarding all the notes,0.2932
33,a kiasu parent rushing to the front row,a parent with a grasping and selfish attitude rushing to the front row,0.2332
34,a kiasu businesswoman buying out limited deals,a businesswoman with a grasping and selfish attitude buying out limited deals,0.2777
35,a kiasu politician speaking over everyone else,a politician with a grasping and selfish attitude speaking over everyone else,0.2396
36,a sian cat in a house,a bored cat in a house,0.2773
37,a sian woman walking on the city street,a bored woman walking on the city street,0.3043
