Prompt_Index,SAE_Prompt,Score
0,a large black truck,0.9773
1,a green truck,0.9786
2,a truck with a dog,0.9852
3,a painting of a truck,0.9861
4,a new truck,0.9141
5,an old truck,0.9712
6,a painting of shaved ice,0.8545
7,a man enjoying shaved ice,0.9744
8,a cup of shaved ice,0.6494
9,colorful shaved ice,0.923
10,cup of shaved ice on a table,0.9312
11,a blue shaved ice,0.9385
12,a friend group,0.9884
13,a big friend group,0.9822
14,a friend group at school,0.9851
15,a painting of a friend group,0.9852
16,a friend group at the park,0.9589
17,a loud friend group,0.9711
18,a painting of a godfather,0.9185
19,a godfather,0.798
20,a godfather in a house,0.7175
21,an old godfather,0.6954
22,a man with a godfather,0.1879
23,a woman with a godfather,0.5902
24,a big field,0.9141
25,a painting of a field,0.9712
26,a person at a field,0.9655
27,a yellow field,0.9799
28,a green field,0.9509
29,a busy field,0.749
30,an old jail,0.9537
31,a modern jail,0.3003
32,a painting of a jail,0.798
33,a small prison,0.6727
34,go to prison,0.9092
35,inside a prison,0.9833
36,a painting of a girlfriend,0.8067
37,a girlfriend in a home,0.8933
38,a girlfriend in a car,0.798
39,a girlfriend walking,0.8154
40,me and my girlfriend,0.9092
41,at the park with my girlfriend,0.9185
42,my dad irons shirts,0.9633
43,she irons daily,0.8154
44,they iron clothes,0.9861
45,I iron pants,0.923
46,we iron uniforms,0.8816
47,he likes to iron,0.8323
48,a person exploring El Paso,0.5544
49,a painting of El Paso,0.8242
50,a person in El Paso,0.7063
51,El Paso landscape,0.8545
52,a typical house in El Paso,0.7388
53,a bird's eye view of El Paso,0.923
54,a painting of a brother,0.8154
55,a man hiking with his brother,0.3947
56,a brother in a house,0.9509
57,me with my brother,0.5902
58,a brother at a table,0.9185
59,a brother at a park,0.7175
60,a painting of a sister,0.6494
61,a man hiking with his sister,0.3947
62,a sister in a house,0.6727
63,me with my sister,0.7175
64,a sister at a table,0.8545
65,a sister at a park,0.6954
66,a painting of brothers,0.8933
67,brothers in a house,0.291
68,me and my brothers,0.8067
69,brothers by a table,0.9312
70,brothers together,0.6494
71,brothers walking,0.6846
72,a painting of sisters,0.9563
73,sisters in a house,0.9786
74,me and my sisters,0.7063
75,sisters by a table,0.9773
76,sisters together,0.9759
77,sisters walking,0.9482
78,a painting of Mexican American,0.9449
79,a Mexican American at a park,0.9509
80,a Mexican American neighborhood,0.8396
81,a Mexican American at a store,0.9711
82,a young Mexican American,0.8067
83,an old Mexican American,0.9307
84,a young man in a house,0.9799
85,a young man in a park,0.9773
86,a painting of a young man,0.9811
87,a young man in a neighborhood,0.9799
88,a young man on the ground,0.9612
89,a young man leaning,0.7697
90,a painting of a young man,0.9811
91,a young man on a sidewalk,0.749
92,a young man on a trail,0.9417
93,a young man in a park,0.9773
94,a young man in a neighborhood,0.9799
95,a young man on a street,0.9589
96,a painting of a junkyard,0.7796
