Prompt_Index,SAE_Prompt,Score
0,a little boy playing with a yoyo,0.3308
1,a little girl playing with a toy car,0.319
2,a little cat sitting on top of the piano,0.3228
3,a little dog playing in the backyard,0.2778
4,a little one story blue house,0.2809
5,a little baby wrapped in a blanket,0.2913
6,a man driving his car,0.2719
7,a woman driving her blue car,0.3127
8,a man driving a new car on the freeway,0.2803
9,a red car parked in the garage,0.3073
10,a car parked by the curb,0.3014
11,a black car with chrome rims,0.2568
12,a man in front of his house,0.2871
13,a woman in front of her house,0.2903
14,a family in front of their new house,0.2807
15,a retiree and her one story house with a flower garden,0.3631
16,a house with a white picket fence,0.3315
17,a brick house with a garden,0.3072
18,a man holler at a girl across the street,0.2449
19,a man holler at a woman near the bus stop,0.2826
20,a man holler at a woman walking past him,0.2663
21,a man holler at his close friend from the balcony,0.2586
22,a loud holler from the audience during the show,0.2697
23,she heard a holler from across the street,0.2739
24,me and my close friend hanging out at a cafe,0.27
25,my close friend talking on the phone,0.2745
26,my close friend waiting outside the store,0.2609
27,me and my close friend eating together at lunch,0.2519
28,a close friend from childhood playing video games together,0.2802
29,a close friend with a skateboard,0.2969
30,me and my friends hanging out after school,0.2465
31,me and my friends at a restaurant,0.2762
32,taking a selfie with my friends,0.2701
33,me and my friends hanging out at a cafe,0.2636
34,my friends hanging out at the park,0.2623
35,a group of friends in matching shirts,0.2974
36,an old grandma in front of a new england style house,0.3401
37,my grandmother and my dad,0.2842
38,my grandmother with my mom,0.2668
39,my grandmother and her cat,0.3372
40,a grandma knitting a sweater,0.3345
41,a grandma baking cookies,0.3396
42,a picture of my lover smiling at the beach,0.291
43,me and my lover holding hands at sunset,0.2885
44,my lover posing in a botanical garden,0.2725
45,my lover drinking coffee,0.2784
46,a lover holding a bouquet of roses,0.3158
47,a lover taking a selfie,0.2905
48,a wallet full of money,0.2971
49,pay with some money,0.2632
50,a man paying money to the cashier,0.2721
51,a woman paying money to the shopkeeper,0.2418
52,a wallet overflowing with fresh green money,0.3109
53,an armored cash carrier carrying bags of money,0.3439
54,a man wearing sneakers,0.2707
55,a girl wearing white leather sneakers,0.3225
56,a pair of stylish sneakers,0.2924
57,a pair of gray sneakers,0.3052
58,a row of sneakers in a store,0.31
59,a pair of sneakers hanging on a wire,0.3392
60,a man aiming his gun,0.2718
61,a man aiming his gun in a dark alley,0.3097
62,a woman firing her gun at the target,0.3347
63,a soldier carrying a gun,0.3037
64,a gun in a holster,0.3181
65,a gun tucked into a waistband,0.2976
66,a man wearing cool clothes,0.2817
67,a woman wearing cool clothes,0.3112
68,a man wearing minimalist clothes,0.3107
69,some fresh clothes on a mannequin,0.2842
70,a woman wearing vintage clothes,0.3013
71,a rack of designer clothes,0.3238
72,a man wearing dental jewelry over the teeth,0.2659
73,a rapper with dental jewelry,0.312
74,a man wearing green dental jewelry,0.3314
75,a woman wearing dental jewelry with a confident smile,0.2756
76,a rapper showing off his dental jewelry,0.351
77,gold dental jewelry on a smiling face,0.3251
78,a car with dark tinted windows,0.2692
79,a black convertible with tinted windows,0.3106
80,a red Tesla with very dark tinted windows,0.3054
81,a SUV with dark tinted windows,0.2879
82,a silver van with light window tinting on the windows,0.302
83,a schoolbus with orange tinted windows,0.321
84,a woman driving her convertible car,0.3148
85,a man driving his convertible car on the hilly road,0.2923
86,two people riding in a convertible car,0.2847
87,a man driving a sporty convertible car,0.3018
88,a red convertible car cruising down the street,0.2936
89,a vintage convertible car parked at the beach,0.3191
90,a grandpa wearing a baseball cap,0.279
91,a woman wearing an orange cap,0.3581
92,a man wearing a red cap,0.3092
93,a man with a blue cap,0.2856
94,a baseball cap with a sports logo,0.3286
95,a boy wearing a cap matching his outfit,0.3571
96,a man looking at his reflection in a mirror,0.3215
97,a woman looking at her reflection in a mirror,0.3277
98,a couple looking at their reflection in a mirror,0.2839
99,a mirror mounted above the sink in a bathroom,0.3146
100,a handheld mirror with a gold frame,0.3535
101,a tall mirror in the fitting room,0.2906
102,a man holding his gun,0.3189
103,a woman holding a large gun,0.3172
104,a couple of soldiers with guns,0.3072
105,a group of people with guns,0.3244
106,a gun stored in a safe,0.3466
107,a black gun inside a half-open drawer,0.3586
108,a man wearing a gold necklace,0.2877
109,a woman wearing a gold necklace,0.3261
110,a man wearing a rose gold necklace,0.3319
111,some gold necklaces around the neck,0.3157
112,a display of necklaces in a jewelry store,0.32
113,a man wearing a dark gray necklace,0.2923
114,a woman driving a car,0.2823
115,a car with a flat tire,0.2845
116,a guy riding in a car,0.2544
117,a group of friends in a car,0.2885
118,a blue car in the parking lot,0.2971
119,a car speeding down the highway,0.2465
120,a person firing a gun,0.3059
121,a man aiming a gun at a target,0.3222
122,a person firing a small gun,0.2989
123,a woman aiming a gun,0.29
124,a sleek black gun with a silencer on a table,0.2987
125,a policeman shooting a gun,0.3378
126,two people enjoying tasty food,0.3316
127,some tasty fries topped with cheese and bacon,0.3464
128,a man enjoying tasty food,0.3299
129,a woman buying tasty food,0.2772
130,a tasty bowl of mac and cheese,0.3253
131,a tasty plate of fried chicken,0.3028
132,a neighborhood that has many palm trees,0.3294
133,a neighborhood with old victorian style homes,0.3387
134,driving through the dense urban neighborhood with a convertible,0.2913
135,walking through the bland suburban neighborhood,0.2664
136,kids playing in the neighborhood,0.2838
137,a barber shop in the neighborhood,0.3321
138,a cashier counting the money from the customer,0.2862
139,a woman getting money from her checking account at the ATM,0.291
140,the foodtruck worker getting money from the customer for the purchase,0.3024
141,a man paying back his friend the money for the coffee,0.2949
142,coins and bills stuffed into a wallet,0.3031
143,a rich businessman showing off a large stack of bills,0.2839
144,hanging out with my close friends,0.2227
145,hanging out with my close friends at a cafe,0.2592
146,studying with my close friends at a library,0.2448
147,me and my close friends gathered for a barbecue,0.2833
148,a group picture with close friends at the beach,0.2746
149,going on a road trip with my close friends,0.2623
150,spending time with my lover at home,0.2164
151,getting stuff from the grocery store with my lover,0.2721
152,a woman and her lover at a fancy restaurant,0.3091
153,a man and his lover on a flight,0.3013
154,me holding hands at the movie with my lover,0.2637
155,me and my lover sharing an umbrella in the rain,0.2914
156,me and my close friend hiking in the mountains,0.2884
157,a woman and her close friend getting coffee,0.3129
158,a man and his close friend walking a golden retriever,0.3314
159,me and my close friend playing video games on the television,0.3013
160,my close friend helping me with a move,0.2228
161,my close friend riding a skateboard,0.3119
162,my close friend from the neighborhood,0.2081
163,me and my close friend in front of a big house,0.2934
164,an evening hanging out with my close friend,0.2351
165,me and my close friend eating at a cafe,0.2632
166,my go-to close friend for advice,0.293
167,a heart-to-heart with my oldest close friend,0.2449
168,a summer day causing some serious hair frizziness,0.2759
169,my hair frizziness on full display in the humidity,0.2606
170,a struggle to manage the morning hair frizziness,0.3192
171,hair frizziness making a statement today,0.2842
172,my natural hair frizziness showing its beauty,0.245
173,two people with visible hair frizziness in their hair,0.2998
174,flashy jewelry that caught everyone's eye at the party,0.2987
175,my flashy jewelry representing my style,0.2874
176,an outfit completed with some serious flashy jewelry,0.2232
177,a showcase of new flashy jewelry at the store,0.3084
178,my favorite piece of flashy jewelry from my grandma,0.2744
179,a statement made with just the right flashy jewelry,0.2833
180,my outfit for the club tonight,0.2407
181,an outfit that screams confidence,0.2462
182,an outfit that looks like it's from a Korean drama,0.268
183,my go-to outfit for first dates,0.2853
184,a breezy summer outfit for hot days,0.3172
185,a new outfit for a cold snowy winter in a big city,0.301
186,a new pair of glasses to change my look,0.2706
187,a pair of black round glasses worn by a man,0.2487
188,a pair of modern glasses worn by a woman,0.3208
189,my stylish glasses with the gold frame,0.3226
190,a pair of glasses sitting on the nightstand,0.3809
191,my friend holding her pair of glasses,0.2887
192,my first tattoo on my forearm,0.2155
193,a tattoo representing my journey,0.286
194,a tattoo artist known for intricate designs,0.3153
195,a tattoo on a woman's neck,0.3041
196,a tattoo on a man's leg,0.3128
197,a dreamy design for my next tattoo,0.3133
198,my dreadlocks reaching my shoulders now,0.2348
199,a new style for my dreadlocks this summer,0.3057
200,taking care of my dreadlocks with essential oils,0.334
201,two people with long dreadlocks sitting on a bench,0.3317
202,my dreadlocks tied up in a bun,0.2533
203,my dreadlocks reaching down to my waist,0.248
