Prompt_Index,Dialect_Prompt,SAE_Prompt,Normalized_Score
0,a crowded math,a crowded monastery,0.6342
1,a painting of some simkin,a painting of some champagne,0.4586
2,an old dai,an old midwife,0.5406
3,a dai with a woman,a midwife with a woman,0.2278
4,a painting of a dai,a painting of a midwife,0.2268
5,a young dai,a young midwife,0.0481
6,a dai sitting down,a midwife sitting down,0.1068
7,a photograph of a dai with a cat,a photograph of a midwife with a cat,0.3377
8,a medico at a table,a medical practitioner at a table,0.3662
9,an old medico,an old medical practitioner,0.3542
10,a medico at a park,a medical practitioner at a park,0.1896
11,a medico with a woman,a medical practitioner with a woman,0.4964
12,a medico with a notepad,a medical practitioner with a notepad,0.3074
13,a painting of a medico,a painting of a medical practitioner,0.4358
14,a nai in red,a barber in red,0.0227
15,an old nai,an old barber,0.3552
16,a nai by the chair,a barber by the chair,0.4898
17,a nai working,a barber working,0.7862
18,a person entering a thana,a person walking into a police station,0.0598
19,an abba in front of a house,a father in front of a house,0.2134
20,a girl standing with her abba,a girl standing with her father,0.3703
21,a crying abba,a crying father,0.3656
22,an abba on a bed,a father on a bed,0.2593
23,an old abba with a dog,an old father with a dog,0.2746
24,an old abba in the kitchen,an old father in the kitchen,0.2965
25,a beautiful rani,a beautiful queen,0.039
26,a rani in a garden,a queen in a garden,0.0668
27,a painting of an old rani,a painting of an old queen,0.2011
28,a rani covered in snow,a queen covered in snow,0.0433
29,a rani in a large hall,a queen in a large hall,0.0319
30,an old rani on a bed,an old queen on a bed,0.3121
31,a painting of a brinjal,a painting of a eggplant,0.4674
32,a person with some khana,a person with some food,0.0474
33,a family enjoying khana,a family enjoying food,0.2149
34,a bustling nagar,a bustling town,0.0359
35,a lively nagar,a lively town,0.2439
36,a painting of agarbatti,a painting of incense,0.7747
37,a busy godown,a busy warehouse,0.6546
38,a very busy petrol bunk,a very busy gas station,0.2584
39,a man with a blue mo-bike,a man with a blue motorcycle,0.6007
40,a black mo-bike,a black motorcycle,0.2803
41,an old handicraftsman,an old craftsman,0.4432
42,a group of handicraftsmen,a group of craftsmen,0.2307
43,a handicraftsman in a house,a craftsman in a house,0.8041
44,a dirty handicraftsman,a dirty craftsman,0.2359
45,a handicraftsman in orange,a craftsman in orange,0.8324
46,a handicraftsman in a big city,a craftsman in a big city,0.5114
47,an angry incharge,an angry supervisor,0.2809
48,an old incharge,an old supervisor,0.1076
49,an incharge in a room,a supervisor in a room,0.4848
50,a painting of an incharge,a painting of a supervisor,0.6106
51,an incharge in the office,a supervisor in the office,0.1717
52,an incharge with a group of people,a supervisor with a group of people,0.4215
53,a child with pani,a child with water,0.2649
54,a man next to a naka,a man next to a checkpoint,0.1
55,a lively tiffin,a lively luncheon,0.2507
56,a tiffin in the building,a luncheon in the building,0.3334
57,an indoor tiffin,an indoor luncheon,0.3241
58,a tiffin in the city,a luncheon in the city,0.6049
59,a tiffin at school,a luncheon at school,0.7274
60,the inside of a satta den,the inside of a gambling den,0.0756
61,a satta room,a gambling room,0.1425
62,a place of satta,a place of gambling,0.1957
63,a bustling satta den,a bustling gambling den,0.2534
64,a luxurious satta den,a luxurious gambling den,0.2204
65,a group of people satta,a group of people gambling,0.029
66,a mechanic inspecting a stepney,a mechanic inspecting a spare tire,0.7965
67,a group photo of my batchmates,a group photo of my classmates,0.4749
68,my batchmate smiling,my classmate smiling,0.0504
69,two batchmates studying,two classmates studying,0.4785
70,a batchmate at a desk,a classmate at a desk,0.2958
71,batchmates outside the school,classmates outside the school,0.3629
72,a batchmate playing basketball,a classmate playing basketball,0.1222
