Prompt_Index,Dialect_Prompt,SAE_Prompt,Normalized_Score
0,an older person entering a math class,an older person entering a monastery,0.5
1,a math class with a crowd of people outside,a monastery with a crowd of people outside,0.573
2,a person holding a bottle of Simkin,a person holding a bottle of champagne,0.5
3,a person pouring sherry into a glass,a person pouring champagne into a glass,0.1554
4,a day in a hospital,a midwife in a hospital,0.3941
5,a day spent walking into a house,a midwife walking into a house,0.5
6,a woman in a bed with a dog next to it,a woman in a bed with a midwife next to it,0.4994
7,a doctor talking with a patient,a midwife talking with a doctor,0.4729
8,a day spent holding a bottle of medicine,a midwife holding a bottle of medicine,0.5
9,a doctor talking with a nurse,a midwife talking with a nurse,0.4482
10,a doctor sitting at a table outside,a medical practitioner sitting at a table outside,0.531
11,two doctors in a conference room,two medical practitioners in a conference room,0.4309
12,a doctor walking in a park,a medical practitioner walking in a park,0.4451
13,The doctor is talking with a patient in a room.,the medical practitioner talking with a patient in a room,0.5
14,a doctor standing outside a building,a medical practitioner standing outside a building,0.5022
15,a doctor talking with a nurse,a medical practitioner talking with a nurse,0.4482
16,people standing outside a pavilion,people standing outside a temple,0.3096
17,a well-dressed person in front of a mandapa,a well-dressed person in front of a temple,0.0697
18,a family in front of a mandapa,a family in front of a temple,0.1477
19,an old temple with many people,an old temple with lots of people,0.137
20,a barber cutting a man's hair,a barber cutting a man's hair,0.9339
21,a barber cutting a woman's hair,a barber cutting a woman's hair,0.8622
22,a friendly local neighbor,a friendly local barber,0.5383
23,a child getting his hair cut by a barber,a child getting his hair cut by a barber,0.9397
24,Three people in a nail salon,three people in a barber shop,0.5
25,police officers working inside a police station,officers working inside a police station,0.3452
26,a person standing outside a police station,a person standing outside a police station,0.3426
27,a person talking to an officer inside a police station,a person talking to an officer inside a police station,0.5368
28,two police officers speaking to a detained person in a police station,two officers speaking to an arrested person in a police station,0.3623
29,a boy standing with his father,a boy standing with his father,0.7178
30,a girl standing with her father near the school gate,a girl standing with her father near the school gate,0.041
31,a man hiking with his dad,a man hiking with his father,0.5401
32,a woman in a car with her father,a woman in a car with her father,0.5
33,a woman walking with her grandmother and a dog,a woman walking with her father and a dog,0.2922
34,a man sitting at a table with his father,a man sitting at a table with his father,0.6054
35,people relaxing under a palm tree,people relaxing under a veranda,0.5
36,Two people walking through a gully.,two people walking through a river-bed,0.5
37,A queen sitting on a throne,a queen sitting on a throne,0.8181
38,A woman making a speech,a queen making a speech,0.7015
39,A queen inside a palace,a queen in a palace,0.2608
40,A queen sitting at a banquet,a queen sitting at a banquet,0.5809
41,A queen in a garden surrounded by blooming flowers,a queen in a garden surrounded by blooming flowers,0.6443
42,A queen riding in a large car,a queen riding in a large car,0.6872
43,Eggplant being sliced,eggplant being sliced,0.2336
44,a person eating food,a person eating food,0.5715
45,a couple enjoying dinner at a restaurant,a couple enjoying food at a restaurant,0.4823
46,a person cooking dinner on the stove,a person cooking food on the stove,0.5449
47,a person buying food from a grocery store,a person buying food from a grocery store,0.4159
48,a family enjoying lots of food,a family enjoying lots of food,0.7023
49,a couple walking in a neighborhood,a couple walking in a town,0.4682
50,a person riding a camel in the desert,a person riding a camel in the desert,0.4035
51,a person giving water to a person,a person giving water to a camel,0.4259
52,a person holding a bundle of incense sticks,a person holding a bundle of incense,0.6308
53,a person looking at a person,a person looking at a crane bird,0.2495
54,a warehouse with many people inside,a warehouse with lots of people inside,0.4655
55,a person walking inside a warehouse,a person walking inside a warehouse,0.355
56,a person operating a forklift inside a warehouse,a person driving a forklift inside a warehouse,0.6106
57,a person walking inside a hospital,a person walking inside a pharmacy,0.5
58,A patient speaking with a healthcare professional in a hospital or clinic.,a person talking to a worker inside a pharmacy,0.4511
