Prompt_Index,SAE_Prompt,Score
0,a red semitruck,0.9855
1,a large semitruck,0.9673
2,a broken semitruck,0.939
3,a painting of an old semitruck,0.8751
4,a modern semitruck,0.9772
5,a small semitruck,0.2645
6,a cozy sweater,0.9645
7,a purple sweater,0.984
8,a dirty sweater,0.8408
9,a designer sweater,0.5284
10,a sweater with holes,0.8647
11,a colorful sweater,0.9845
12,a modern bathroom,0.97
13,a dirty bathroom,0.9922
14,a colorful bathroom,0.9782
15,a bathroom with blue tiles,0.987
16,a spacious bathroom,0.8457
17,a tiny bathroom,0.7074
18,a pack of sausages,0.723
19,a plate of sausages and eggs,0.9214
20,three sausages,0.7263
21,sizzling sausages,0.6567
22,broken sausages,0.8581
23,some expired sausages,0.1652
24,a pile of trash,0.9711
25,trash on the floor,0.9874
26,a heap of trash,0.9767
27,a painting of trash,0.9439
28,a trash bin,0.9818
29,a room full of trash,0.974
30,an apartment to rent,0.6591
31,an apartment with two bedrooms,0.6018
32,a city centre apartment,0.9067
33,an apartment with balcony,0.9713
34,students living in an apartment,0.8717
35,keys to a new apartment,0.6667
36,a broken car trunk,0.7837
37,a packed car trunk,0.753
38,an empty car trunk,0.9489
39,a dirty car trunk,0.9203
40,a modern car trunk,0.9667
41,a red car trunk,0.8379
42,a long line,0.9415
43,a short line,0.4827
44,a painting of a long line,0.8887
45,a line of people,0.98
46,a line outside the store,0.9495
47,a line for food,0.8465
48,a pair of purple pants,0.9545
49,a pair of denim pants,0.9802
50,some ripped pants,0.9825
51,my dirty pants,0.8677
52,a pair of designer pants,0.8581
53,pants with holes,0.9816
54,a small cookie,0.5338
55,a fresh cookie,0.7404
56,a burnt cookie,0.8744
57,a broken cookie,0.943
58,a painting of a cookie,0.9713
59,a chocolate cookie,0.9628
60,a handheld flashlight,0.9638
61,a flashlight in a drawer,0.9853
62,a pocket flashlight,0.9487
63,using a flashlight at night,0.9507
64,batteries for a flashlight,0.9298
65,a flashlight with a switch,0.9372
66,some dirty diapers,0.6383
67,white diapers,0.9651
68,diapers with holes,0.9276
69,a pack of diapers,0.9472
70,a pair of pink diapers,0.7709
71,a ripped pair of diapers,0.6666
72,a modern gasoline station,0.9662
73,a painting of an old gasoline station,0.7753
74,a vintage gasoline station,0.6501
75,a gasoline pump,0.974
76,a gasoline tanker,0.8267
77,a gasoline station sign,0.8932
78,a round soccer ball,0.9779
79,a black and white soccor ball,0.7054
80,a soccer match in Europe,0.9248
81,a soccer with black spots,0.9473
82,a team scoring a soccer goal,0.6388
83,kicking a soccer ball,0.9468
84,shopping at a pharmacy,0.9518
85,entering a local pharmacy,0.9099
86,shelves in a pharmacy,0.98
87,queue at a pharmacy shop,0.3039
88,sign for a pharmacy shop,0.9749
89,products from a pharmacy,0.986
90,hot french fries with vinegar,0.4549
91,french fries with ketchup,0.9624
92,thick-cut french fries,0.8403
93,french fries from a chippy,0.8148
94,french fries with fish,0.9818
95,takeaway french fries,0.9486
96,an attorney at a table,0.916
97,an old attorney,0.9352
98,an attorney at a park,0.9024
99,an attorney with a woman,0.733
100,an attorney with a notepad,0.8393
101,a painting of an attorney,0.9606
102,a school janitor,0.9458
103,a dirty janitor,0.8423
104,a tired janitor,0.7989
105,a busy janitor,0.8218
106,a painting of an old janitor,0.8105
107,a janitor in a mall,0.903
108,a burning stove,0.9591
109,an old gas stove,0.7406
110,a modern electric stove,0.8965
111,a dirty stove,0.9882
112,a rusty stove,0.9554
113,a large stove,0.8932
114,a baby in a crib,0.9461
115,a wooden nursery crib,0.9758
116,toys beside a crib,0.9477
117,a crib with mobile,0.6392
118,a crib with bars,0.9207
119,an infant's crib,0.9596
120,a billboard in a city,0.9713
121,a broken billboard,0.8347
122,a colorful billboard,0.9621
123,a bright red billboard,0.9647
124,a billboard lit up,0.9484
125,a dirty billboard,0.6788
126,a bright red vacuum cleaner,0.973
127,a vacuum cleaner with a long cord,0.7417
128,a modern vacuum cleaner,0.9743
129,a broken vacuum cleaner,0.5383
130,a dirty vacuum cleaner,0.5826
131,a painting of an old vacuum cleaner,0.7997
132,a filled pitcher,0.9322
133,an empty pitcher,0.9457
134,a broken pitcher,0.9713
135,a dirty pitcher,0.9478
136,a colorful pitcher,0.9801
137,a bright blue pitcher,0.9637
138,a young mailman,0.6981
139,a lazy mailman,0.5541
140,a tired mailman,0.6205
141,a busy mailman,0.4035
142,a painting of an old mailman,0.854
143,a mailman on the street,0.4371
144,a colorful baby carriage,0.9717
145,a baby carriage with a sunshade,0.9643
146,a bright pink baby carriage,0.9766
147,a dirty baby carriage,0.3726
148,a painting of a vintage baby carriage,0.9719
149,a modern baby carriage,0.9248
150,a luxurious sedan,0.9776
151,a bright red sedan,0.969
152,a dirty sedan,0.9728
153,a sedan on the street,0.9332
154,a broken sedan,0.9633
155,a painting of a vintage sedan,0.9669
156,an open hood of car,0.9876
157,a dirty hood of car,0.9595
158,a bright red hood of car,0.8157
159,a hood of car with stripes,0.8367
160,a broken hood of car,0.9017
161,a colorful hood of car,0.9471
162,chopped cilantro,0.9598
163,cilantro on a table,0.9457
164,cilantro in a basket,0.9801
165,a painting of cilantro,0.8736
166,a basket of cilantro,0.9833
167,a dish with cilantro,0.9918
168,a sliced zucchini,0.9243
169,a zucchini on the table,0.9425
170,zucchini in a basket,0.9121
171,a painting of a zucchini,0.9707
172,a moldy zucchini,0.5188
173,a dish with zucchini,0.9864
174,inside of the subway,0.9557
175,a subway station,0.9358
176,a dirty subway,0.8945
177,a modern subway,0.9385
178,a painting of the subway,0.9511
179,an abandoned subway station,0.8448
180,a sliced eggplant,0.8959
